# Export File Created with QBlade CE v2.0.8.6_beta windows on 14.04.2025 at 14:04:27
E63__(4.25%)_Re1.000_M0.00_N9.0 360 M	E63__(4.25%)_Re1.000_M0.00_N9.0
Angle of Attack [deg]	Drag Coefficient Cd [-]	Angle of Attack [deg]	Drag Coefficient Cd [-]
-1.8000000e+02	6.0000047e-03	-4.0000000e+00	5.1279999e-02
-1.7900000e+02	6.5383422e-03	-5.0000000e-01	6.5299999e-03
-1.7800000e+02	8.1510283e-03	0.0000000e+00	5.2700001e-03
-1.7700000e+02	1.0833596e-02	5.0000000e-01	4.2699999e-03
-1.7600000e+02	1.4580285e-02	1.0000000e+00	4.5200000e-03
-1.7500000e+02	1.9384053e-02	1.5000000e+00	6.4800000e-03
-1.7400000e+02	2.5236582e-02	2.0000000e+00	9.6300002e-03
-1.7300000e+02	3.2128308e-02	2.5000000e+00	1.0010000e-02
-1.7200000e+02	4.0048424e-02	3.0000000e+00	1.0640000e-02
-1.7100000e+02	4.8984896e-02	3.5000000e+00	1.1540000e-02
-1.7000000e+02	5.8924500e-02	4.0000000e+00	1.2160000e-02
-1.6900000e+02	6.9852814e-02	4.5000000e+00	1.2940000e-02
-1.6800000e+02	8.1754267e-02	6.0000000e+00	1.6060000e-02
-1.6700000e+02	9.4612151e-02	6.5000000e+00	1.8970000e-02
-1.6600000e+02	1.0840863e-01	7.0000000e+00	2.3050001e-02
-1.6500000e+02	1.2312479e-01	8.0000000e+00	4.0830001e-02
-1.6400000e+02	1.3874067e-01	8.5000000e+00	5.3450000e-02
-1.6300000e+02	1.5523525e-01	1.0500000e+01	9.2610002e-02
-1.6200000e+02	1.7258650e-01	1.2000000e+01	1.4927000e-01
-1.6100000e+02	1.9077145e-01	1.2500000e+01	1.6659001e-01
-1.6000000e+02	2.0976616e-01	1.4500000e+01	2.3209000e-01
-1.5900000e+02	2.2954579e-01	END	END
-1.5800000e+02	2.5008461e-01	END	END
-1.5700000e+02	2.7135602e-01	END	END
-1.5600000e+02	2.9333267e-01	END	END
-1.5500000e+02	3.1598639e-01	END	END
-1.5400000e+02	3.3928826e-01	END	END
-1.5300000e+02	3.6320871e-01	END	END
-1.5200000e+02	3.8771746e-01	END	END
-1.5100000e+02	4.1278359e-01	END	END
-1.5000000e+02	4.3837562e-01	END	END
-1.4900000e+02	4.6446154e-01	END	END
-1.4800000e+02	4.9100876e-01	END	END
-1.4700000e+02	5.1798427e-01	END	END
-1.4600000e+02	5.4535460e-01	END	END
-1.4500000e+02	5.7308596e-01	END	END
-1.4400000e+02	6.0114413e-01	END	END
-1.4300000e+02	6.2949455e-01	END	END
-1.4200000e+02	6.5810251e-01	END	END
-1.4100000e+02	6.8693298e-01	END	END
-1.4000000e+02	7.1595073e-01	END	END
-1.3900000e+02	7.4512053e-01	END	END
-1.3800000e+02	7.7440691e-01	END	END
-1.3700000e+02	8.0377430e-01	END	END
-1.3600000e+02	8.3318728e-01	END	END
-1.3500000e+02	8.6261028e-01	END	END
-1.3400000e+02	8.9200789e-01	END	END
-1.3300000e+02	9.2134476e-01	END	END
-1.3200000e+02	9.5058572e-01	END	END
-1.3100000e+02	9.7969568e-01	END	END
-1.3000000e+02	1.0086399e+00	END	END
-1.2900000e+02	1.0373839e+00	END	END
-1.2800000e+02	1.0658933e+00	END	END
-1.2700000e+02	1.0941343e+00	END	END
-1.2600000e+02	1.1220733e+00	END	END
-1.2500000e+02	1.1496772e+00	END	END
-1.2400000e+02	1.1769134e+00	END	END
-1.2300000e+02	1.2037495e+00	END	END
-1.2200000e+02	1.2301540e+00	END	END
-1.2100000e+02	1.2560959e+00	END	END
-1.2000000e+02	1.2815443e+00	END	END
-1.1900000e+02	1.3064696e+00	END	END
