# Export File Created with QBlade CE v2.0.8.6_beta windows on 14.04.2025 at 13:57:45
E63__(4.25%)_Re0.045_M0.00_N9.0 360 M	E63__(4.25%)_Re0.045_M0.00_N9.0
Angle of Attack [deg]	Drag Coefficient Cd [-]	Angle of Attack [deg]	Drag Coefficient Cd [-]
-1.8000000e+02	6.0000005e-03	-4.0000000e+00	8.3339997e-02
-1.7900000e+02	6.5383385e-03	-3.5000000e+00	7.9240002e-02
-1.7800000e+02	8.1510255e-03	-3.0000000e+00	7.1520001e-02
-1.7700000e+02	1.0833595e-02	-2.5000000e+00	6.5320000e-02
-1.7600000e+02	1.4580285e-02	-2.0000000e+00	5.9510000e-02
-1.7500000e+02	1.9384054e-02	-1.5000000e+00	5.4370001e-02
-1.7400000e+02	2.5236590e-02	-5.0000000e-01	3.2260001e-02
-1.7300000e+02	3.2128319e-02	0.0000000e+00	2.8190000e-02
-1.7200000e+02	4.0048439e-02	5.0000000e-01	2.3890000e-02
-1.7100000e+02	4.8984919e-02	1.0000000e+00	2.5110001e-02
-1.7000000e+02	5.8924526e-02	1.5000000e+00	2.6559999e-02
-1.6900000e+02	6.9852851e-02	2.0000000e+00	2.8279999e-02
-1.6800000e+02	8.1754312e-02	2.5000000e+00	3.0320000e-02
-1.6700000e+02	9.4612204e-02	3.0000000e+00	3.2790001e-02
-1.6600000e+02	1.0840869e-01	3.5000000e+00	3.5790000e-02
-1.6500000e+02	1.2312487e-01	4.0000000e+00	3.9329998e-02
-1.6400000e+02	1.3874076e-01	4.5000000e+00	4.1129999e-02
-1.6300000e+02	1.5523535e-01	5.0000000e+00	3.9799999e-02
-1.6200000e+02	1.7258662e-01	5.5000000e+00	3.3280000e-02
-1.6100000e+02	1.9077159e-01	6.0000000e+00	2.7240001e-02
-1.6000000e+02	2.0976631e-01	6.5000000e+00	3.6570001e-02
-1.5900000e+02	2.2954597e-01	7.0000000e+00	4.5480002e-02
-1.5800000e+02	2.5008479e-01	8.0000000e+00	7.1259998e-02
