# Export File Created with QBlade CE v2.0.8.6_beta windows on 14.04.2025 at 14:18:23
E63__(4.25%)_Re0.500_M0.00_N9.0 360 M	E63__(4.25%)_Re0.500_M0.00_N9.0
Angle of Attack [deg]	Drag Coefficient Cd [-]	Angle of Attack [deg]	Drag Coefficient Cd [-]
-1.8000000e+02	6.0000070e-03	-1.0000000e+00	1.4760000e-02
-1.7900000e+02	6.5383445e-03	-5.0000000e-01	1.0480000e-02
-1.7800000e+02	8.1510302e-03	5.0000000e-01	7.5300001e-03
-1.7700000e+02	1.0833598e-02	1.0000000e+00	7.2400002e-03
-1.7600000e+02	1.4580285e-02	1.5000000e+00	6.6300002e-03
-1.7500000e+02	1.9384051e-02	2.0000000e+00	8.2999999e-03
-1.7400000e+02	2.5236579e-02	2.5000000e+00	9.0399999e-03
-1.7300000e+02	3.2128304e-02	3.0000000e+00	9.8799998e-03
-1.7200000e+02	4.0048417e-02	3.5000000e+00	1.1100000e-02
-1.7100000e+02	4.8984885e-02	4.0000000e+00	1.2840000e-02
-1.7000000e+02	5.8924485e-02	4.5000000e+00	1.4620000e-02
-1.6900000e+02	6.9852792e-02	5.0000000e+00	1.6060000e-02
-1.6800000e+02	8.1754245e-02	5.5000000e+00	1.8680001e-02
-1.6700000e+02	9.4612114e-02	6.5000000e+00	2.4909999e-02
-1.6600000e+02	1.0840859e-01	7.0000000e+00	3.0440001e-02
-1.6500000e+02	1.2312475e-01	7.5000000e+00	3.7570000e-02
-1.6400000e+02	1.3874061e-01	8.0000000e+00	4.6349999e-02
-1.6300000e+02	1.5523519e-01	8.5000000e+00	5.6109998e-02
-1.6200000e+02	1.7258643e-01	9.0000000e+00	6.5339997e-02
-1.6100000e+02	1.9077137e-01	9.5000000e+00	7.2530001e-02
-1.6000000e+02	2.0976608e-01	1.2500000e+01	1.7115000e-01
-1.5900000e+02	2.2954568e-01	END	END
-1.5800000e+02	2.5008449e-01	END	END
-1.5700000e+02	2.7135590e-01	END	END
-1.5600000e+02	2.9333252e-01	END	END
-1.5500000e+02	3.1598622e-01	END	END
-1.5400000e+02	3.3928809e-01	END	END
-1.5300000e+02	3.6320853e-01	END	END
-1.5200000e+02	3.8771725e-01	END	END
