# Export File Created with QBlade CE v2.0.8.6_beta windows on 14.04.2025 at 13:59:41
E63__(4.25%)_Re0.100_M0.00_N9.0 360 M	E63__(4.25%)_Re0.100_M0.00_N9.0
Angle of Attack [deg]	Drag Coefficient Cd [-]	Angle of Attack [deg]	Drag Coefficient Cd [-]
-1.8000000e+02	6.0000028e-03	-4.0000000e+00	7.9559997e-02
-1.7900000e+02	6.5383408e-03	-3.5000000e+00	7.3250003e-02
-1.7800000e+02	8.1510274e-03	-3.0000000e+00	6.8860002e-02
-1.7700000e+02	1.0833596e-02	-2.5000000e+00	5.7659999e-02
-1.7600000e+02	1.4580285e-02	-2.0000000e+00	5.0940000e-02
-1.7500000e+02	1.9384053e-02	-1.5000000e+00	4.3299999e-02
-1.7400000e+02	2.5236586e-02	-5.0000000e-01	2.9080000e-02
-1.7300000e+02	3.2128315e-02	0.0000000e+00	2.3530001e-02
-1.7200000e+02	4.0048432e-02	5.0000000e-01	1.9690000e-02
-1.7100000e+02	4.8984908e-02	1.0000000e+00	2.1070000e-02
-1.7000000e+02	5.8924511e-02	1.5000000e+00	2.2609999e-02
-1.6900000e+02	6.9852829e-02	2.5000000e+00	2.3580000e-02
-1.6800000e+02	8.1754290e-02	3.0000000e+00	2.3119999e-02
-1.6700000e+02	9.4612174e-02	3.5000000e+00	2.1930000e-02
-1.6600000e+02	1.0840865e-01	4.0000000e+00	1.9810000e-02
-1.6500000e+02	1.2312482e-01	4.5000000e+00	1.7240001e-02
-1.6400000e+02	1.3874070e-01	5.0000000e+00	1.6340001e-02
-1.6300000e+02	1.5523529e-01	5.5000000e+00	2.0810001e-02
-1.6200000e+02	1.7258655e-01	6.0000000e+00	2.7670000e-02
-1.6100000e+02	1.9077151e-01	6.5000000e+00	3.3080000e-02
-1.6000000e+02	2.0976622e-01	7.5000000e+00	5.2120000e-02
-1.5900000e+02	2.2954586e-01	8.0000000e+00	6.2199999e-02
-1.5800000e+02	2.5008467e-01	8.5000000e+00	7.3019996e-02
-1.5700000e+02	2.7135611e-01	9.5000000e+00	8.8529997e-02
-1.5600000e+02	2.9333279e-01	1.1500000e+01	1.6071001e-01
-1.5500000e+02	3.1598651e-01	1.2000000e+01	1.7129000e-01
-1.5400000e+02	3.3928841e-01	1.6500000e+01	2.8475001e-01
-1.5300000e+02	3.6320886e-01	END	END
-1.5200000e+02	3.8771763e-01	END	END
-1.5100000e+02	4.1278377e-01	END	END
-1.5000000e+02	4.3837583e-01	END	END
-1.4900000e+02	4.6446174e-01	END	END
-1.4800000e+02	4.9100900e-01	END	END
-1.4700000e+02	5.1798451e-01	END	END
