# Export File Created with QBlade CE v2.0.8.6_beta windows on 17.04.2025 at 16:21:03
CLARK_Y_AIRFOIL_Re0.020_M0.00_N9.0 360 M	CLARK_Y_AIRFOIL_Re0.045_M0.00_N9.0 360 M	CLARK_Y_AIRFOIL_Re0.075_M0.00_N9.0 360 M	CLARK_Y_AIRFOIL_Re0.100_M0.00_N9.0 360 M	CLARK_Y_AIRFOIL_Re0.250_M0.00_N9.0 360 M	CLARK_Y_AIRFOIL_Re0.500_M0.00_N9.0 360 M	CLARK_Y_AIRFOIL_Re0.750_M0.00_N9.0 360 M	CLARK_Y_AIRFOIL_Re1.000_M0.00_N9.0 360 M	CLARK_Y_AIRFOIL_Re1.000_M0.00_N9.0
Angle of Attack [deg]	Drag Coefficient Cd [-]	Angle of Attack [deg]	Drag Coefficient Cd [-]	Angle of Attack [deg]	Drag Coefficient Cd [-]	Angle of Attack [deg]	Drag Coefficient Cd [-]	Angle of Attack [deg]	Drag Coefficient Cd [-]	Angle of Attack [deg]	Drag Coefficient Cd [-]	Angle of Attack [deg]	Drag Coefficient Cd [-]	Angle of Attack [deg]	Drag Coefficient Cd [-]	Angle of Attack [deg]	Drag Coefficient Cd [-]
-1.2000000e+02	1.2593395e+00	-1.2000000e+02	1.2593436e+00	-1.2000000e+02	1.2593428e+00	-1.2000000e+02	1.2593428e+00	-1.2000000e+02	1.2593406e+00	-1.2000000e+02	1.2593405e+00	-1.2000000e+02	1.2593403e+00	-1.2000000e+02	1.2593403e+00	END	END
-1.1900000e+02	1.2840090e+00	-1.1900000e+02	1.2840134e+00	-1.1900000e+02	1.2840126e+00	-1.1900000e+02	1.2840124e+00	-1.1900000e+02	1.2840103e+00	-1.1900000e+02	1.2840101e+00	-1.1900000e+02	1.2840099e+00	-1.1900000e+02	1.2840098e+00	END	END
-1.1800000e+02	1.3081368e+00	-1.1800000e+02	1.3081415e+00	-1.1800000e+02	1.3081405e+00	-1.1800000e+02	1.3081405e+00	-1.1800000e+02	1.3081381e+00	-1.1800000e+02	1.3081380e+00	-1.1800000e+02	1.3081378e+00	-1.1800000e+02	1.3081377e+00	END	END
-1.1700000e+02	1.3316944e+00	-1.1700000e+02	1.3316991e+00	-1.1700000e+02	1.3316983e+00	-1.1700000e+02	1.3316982e+00	-1.1700000e+02	1.3316957e+00	-1.1700000e+02	1.3316956e+00	-1.1700000e+02	1.3316953e+00	-1.1700000e+02	1.3316952e+00	END	END
-1.1600000e+02	1.3546535e+00	-1.1600000e+02	1.3546586e+00	-1.1600000e+02	1.3546575e+00	-1.1600000e+02	1.3546575e+00	-1.1600000e+02	1.3546549e+00	-1.1600000e+02	1.3546547e+00	-1.1600000e+02	1.3546544e+00	-1.1600000e+02	1.3546544e+00	END	END
-1.1500000e+02	1.3769870e+00	-1.1500000e+02	1.3769923e+00	-1.1500000e+02	1.3769913e+00	-1.1500000e+02	1.3769913e+00	-1.1500000e+02	1.3769884e+00	-1.1500000e+02	1.3769883e+00	-1.1500000e+02	1.3769881e+00	-1.1500000e+02	1.3769879e+00	END	END
-1.1400000e+02	1.3986684e+00	-1.1400000e+02	1.3986740e+00	-1.1400000e+02	1.3986729e+00	-1.1400000e+02	1.3986728e+00	-1.1400000e+02	1.3986700e+00	-1.1400000e+02	1.3986697e+00	-1.1400000e+02	1.3986695e+00	-1.1400000e+02	1.3986694e+00	END	END
-1.1300000e+02	1.4196719e+00	-1.1300000e+02	1.4196779e+00	-1.1300000e+02	1.4196768e+00	-1.1300000e+02	1.4196767e+00	-1.1300000e+02	1.4196736e+00	-1.1300000e+02	1.4196733e+00	-1.1300000e+02	1.4196731e+00	-1.1300000e+02	1.4196730e+00	END	END
-1.1200000e+02	1.4399728e+00	-1.1200000e+02	1.4399791e+00	-1.1200000e+02	1.4399779e+00	-1.1200000e+02	1.4399778e+00	-1.1200000e+02	1.4399744e+00	-1.1200000e+02	1.4399743e+00	-1.1200000e+02	1.4399740e+00	-1.1200000e+02	1.4399738e+00	END	END
-1.1100000e+02	1.4595469e+00	-1.1100000e+02	1.4595535e+00	-1.1100000e+02	1.4595523e+00	-1.1100000e+02	1.4595522e+00	-1.1100000e+02	1.4595487e+00	-1.1100000e+02	1.4595485e+00	-1.1100000e+02	1.4595481e+00	-1.1100000e+02	1.4595480e+00	END	END
-1.1000000e+02	1.4783710e+00	-1.1000000e+02	1.4783781e+00	-1.1000000e+02	1.4783767e+00	-1.1000000e+02	1.4783766e+00	-1.1000000e+02	1.4783729e+00	-1.1000000e+02	1.4783727e+00	-1.1000000e+02	1.4783723e+00	-1.1000000e+02	1.4783722e+00	END	END
-1.0900000e+02	1.4964230e+00	-1.0900000e+02	1.4964304e+00	-1.0900000e+02	1.4964290e+00	-1.0900000e+02	1.4964288e+00	-1.0900000e+02	1.4964250e+00	-1.0900000e+02	1.4964247e+00	-1.0900000e+02	1.4964243e+00	-1.0900000e+02	1.4964242e+00	END	END
-1.0800000e+02	1.5136815e+00	-1.0800000e+02	1.5136893e+00	-1.0800000e+02	1.5136877e+00	-1.0800000e+02	1.5136876e+00	-1.0800000e+02	1.5136836e+00	-1.0800000e+02	1.5136832e+00	-1.0800000e+02	1.5136828e+00	-1.0800000e+02	1.5136827e+00	END	END
-1.0700000e+02	1.5301260e+00	-1.0700000e+02	1.5301342e+00	-1.0700000e+02	1.5301325e+00	-1.0700000e+02	1.5301324e+00	-1.0700000e+02	1.5301281e+00	-1.0700000e+02	1.5301279e+00	-1.0700000e+02	1.5301274e+00	-1.0700000e+02	1.5301273e+00	END	END
-1.0600000e+02	1.5457371e+00	-1.0600000e+02	1.5457457e+00	-1.0600000e+02	1.5457441e+00	-1.0600000e+02	1.5457439e+00	-1.0600000e+02	1.5457394e+00	-1.0600000e+02	1.5457391e+00	-1.0600000e+02	1.5457386e+00	-1.0600000e+02	1.5457385e+00	END	END
-1.0500000e+02	1.5604966e+00	-1.0500000e+02	1.5605056e+00	-1.0500000e+02	1.5605038e+00	-1.0500000e+02	1.5605037e+00	-1.0500000e+02	1.5604988e+00	-1.0500000e+02	1.5604985e+00	-1.0500000e+02	1.5604981e+00	-1.0500000e+02	1.5604979e+00	END	END
-1.0400000e+02	1.5743867e+00	-1.0400000e+02	1.5743963e+00	-1.0400000e+02	1.5743943e+00	-1.0400000e+02	1.5743942e+00	-1.0400000e+02	1.5743891e+00	-1.0400000e+02	1.5743887e+00	-1.0400000e+02	1.5743883e+00	-1.0400000e+02	1.5743881e+00	END	END
-1.0300000e+02	1.5873913e+00	-1.0300000e+02	1.5874013e+00	-1.0300000e+02	1.5873992e+00	-1.0300000e+02	1.5873991e+00	-1.0300000e+02	1.5873938e+00	-1.0300000e+02	1.5873934e+00	-1.0300000e+02	1.5873929e+00	-1.0300000e+02	1.5873928e+00	END	END
-1.0200000e+02	1.5994949e+00	-1.0200000e+02	1.5995054e+00	-1.0200000e+02	1.5995033e+00	-1.0200000e+02	1.5995032e+00	-1.0200000e+02	1.5994976e+00	-1.0200000e+02	1.5994971e+00	-1.0200000e+02	1.5994966e+00	-1.0200000e+02	1.5994965e+00	END	END
-1.0100000e+02	1.6106833e+00	-1.0100000e+02	1.6106944e+00	-1.0100000e+02	1.6106921e+00	-1.0100000e+02	1.6106920e+00	-1.0100000e+02	1.6106861e+00	-1.0100000e+02	1.6106857e+00	-1.0100000e+02	1.6106851e+00	-1.0100000e+02	1.6106849e+00	END	END
-1.0000000e+02	1.6209433e+00	-1.0000000e+02	1.6209550e+00	-1.0000000e+02	1.6209526e+00	-1.0000000e+02	1.6209525e+00	-1.0000000e+02	1.6209462e+00	-1.0000000e+02	1.6209458e+00	-1.0000000e+02	1.6209452e+00	-1.0000000e+02	1.6209450e+00	END	END
-9.9000000e+01	1.6302629e+00	-9.9000000e+01	1.6302751e+00	-9.9000000e+01	1.6302726e+00	-9.9000000e+01	1.6302725e+00	-9.9000000e+01	1.6302658e+00	-9.9000000e+01	1.6302654e+00	-9.9000000e+01	1.6302648e+00	-9.9000000e+01	1.6302645e+00	END	END
-9.8000000e+01	1.6386310e+00	-9.8000000e+01	1.6386437e+00	-9.8000000e+01	1.6386412e+00	-9.8000000e+01	1.6386410e+00	-9.8000000e+01	1.6386340e+00	-9.8000000e+01	1.6386336e+00	-9.8000000e+01	1.6386329e+00	-9.8000000e+01	1.6386327e+00	END	END
-9.7000000e+01	1.6460377e+00	-9.7000000e+01	1.6460512e+00	-9.7000000e+01	1.6460484e+00	-9.7000000e+01	1.6460483e+00	-9.7000000e+01	1.6460409e+00	-9.7000000e+01	1.6460404e+00	-9.7000000e+01	1.6460397e+00	-9.7000000e+01	1.6460395e+00	END	END
-9.6000000e+01	1.6524744e+00	-9.6000000e+01	1.6524886e+00	-9.6000000e+01	1.6524857e+00	-9.6000000e+01	1.6524855e+00	-9.6000000e+01	1.6524777e+00	-9.6000000e+01	1.6524773e+00	-9.6000000e+01	1.6524764e+00	-9.6000000e+01	1.6524763e+00	END	END
-9.5000000e+01	1.6579335e+00	-9.5000000e+01	1.6579484e+00	-9.5000000e+01	1.6579454e+00	-9.5000000e+01	1.6579452e+00	-9.5000000e+01	1.6579369e+00	-9.5000000e+01	1.6579365e+00	-9.5000000e+01	1.6579356e+00	-9.5000000e+01	1.6579354e+00	END	END
-9.4000000e+01	1.6624086e+00	-9.4000000e+01	1.6624241e+00	-9.4000000e+01	1.6624210e+00	-9.4000000e+01	1.6624207e+00	-9.4000000e+01	1.6624120e+00	-9.4000000e+01	1.6624116e+00	-9.4000000e+01	1.6624107e+00	-9.4000000e+01	1.6624105e+00	END	END
-9.3000000e+01	1.6658943e+00	-9.3000000e+01	1.6659106e+00	-9.3000000e+01	1.6659073e+00	-9.3000000e+01	1.6659070e+00	-9.3000000e+01	1.6658978e+00	-9.3000000e+01	1.6658974e+00	-9.3000000e+01	1.6658964e+00	-9.3000000e+01	1.6658962e+00	END	END
-9.2000000e+01	1.6683865e+00	-9.2000000e+01	1.6684036e+00	-9.2000000e+01	1.6684002e+00	-9.2000000e+01	1.6683998e+00	-9.2000000e+01	1.6683903e+00	-9.2000000e+01	1.6683897e+00	-9.2000000e+01	1.6683887e+00	-9.2000000e+01	1.6683885e+00	END	END
-9.1000000e+01	1.6698824e+00	-9.1000000e+01	1.6699004e+00	-9.1000000e+01	1.6698967e+00	-9.1000000e+01	1.6698964e+00	-9.1000000e+01	1.6698862e+00	-9.1000000e+01	1.6698856e+00	-9.1000000e+01	1.6698847e+00	-9.1000000e+01	1.6698844e+00	END	END
-9.0000000e+01	1.6703801e+00	-9.0000000e+01	1.6703991e+00	-9.0000000e+01	1.6703951e+00	-9.0000000e+01	1.6703948e+00	-9.0000000e+01	1.6703842e+00	-9.0000000e+01	1.6703836e+00	-9.0000000e+01	1.6703825e+00	-9.0000000e+01	1.6703821e+00	END	END
-8.9000000e+01	1.6698792e+00	-8.9000000e+01	1.6698991e+00	-8.9000000e+01	1.6698949e+00	-8.9000000e+01	1.6698946e+00	-8.9000000e+01	1.6698833e+00	-8.9000000e+01	1.6698827e+00	-8.9000000e+01	1.6698816e+00	-8.9000000e+01	1.6698812e+00	END	END
-8.8000000e+01	1.6683800e+00	-8.8000000e+01	1.6684009e+00	-8.8000000e+01	1.6683966e+00	-8.8000000e+01	1.6683962e+00	-8.8000000e+01	1.6683843e+00	-8.8000000e+01	1.6683836e+00	-8.8000000e+01	1.6683825e+00	-8.8000000e+01	1.6683822e+00	END	END
-8.7000000e+01	1.6658845e+00	-8.7000000e+01	1.6659064e+00	-8.7000000e+01	1.6659019e+00	-8.7000000e+01	1.6659014e+00	-8.7000000e+01	1.6658889e+00	-8.7000000e+01	1.6658882e+00	-8.7000000e+01	1.6658870e+00	-8.7000000e+01	1.6658866e+00	END	END
-8.6000000e+01	1.6623956e+00	-8.6000000e+01	1.6624186e+00	-8.6000000e+01	1.6624137e+00	-8.6000000e+01	1.6624134e+00	-8.6000000e+01	1.6624001e+00	-8.6000000e+01	1.6623994e+00	-8.6000000e+01	1.6623981e+00	-8.6000000e+01	1.6623977e+00	END	END
-8.5000000e+01	1.6579173e+00	-8.5000000e+01	1.6579415e+00	-8.5000000e+01	1.6579363e+00	-8.5000000e+01	1.6579359e+00	-8.5000000e+01	1.6579219e+00	-8.5000000e+01	1.6579212e+00	-8.5000000e+01	1.6579198e+00	-8.5000000e+01	1.6579194e+00	END	END
-8.4000000e+01	1.6524549e+00	-8.4000000e+01	1.6524802e+00	-8.4000000e+01	1.6524749e+00	-8.4000000e+01	1.6524743e+00	-8.4000000e+01	1.6524596e+00	-8.4000000e+01	1.6524589e+00	-8.4000000e+01	1.6524575e+00	-8.4000000e+01	1.6524570e+00	END	END
-8.3000000e+01	1.6460148e+00	-8.3000000e+01	1.6460414e+00	-8.3000000e+01	1.6460358e+00	-8.3000000e+01	1.6460352e+00	-8.3000000e+01	1.6460197e+00	-8.3000000e+01	1.6460189e+00	-8.3000000e+01	1.6460173e+00	-8.3000000e+01	1.6460170e+00	END	END
-8.2000000e+01	1.6386045e+00	-8.2000000e+01	1.6386325e+00	-8.2000000e+01	1.6386266e+00	-8.2000000e+01	1.6386260e+00	-8.2000000e+01	1.6386096e+00	-8.2000000e+01	1.6386088e+00	-8.2000000e+01	1.6386071e+00	-8.2000000e+01	1.6386067e+00	END	END
-8.1000000e+01	1.6302329e+00	-8.1000000e+01	1.6302624e+00	-8.1000000e+01	1.6302561e+00	-8.1000000e+01	1.6302555e+00	-8.1000000e+01	1.6302382e+00	-8.1000000e+01	1.6302373e+00	-8.1000000e+01	1.6302356e+00	-8.1000000e+01	1.6302351e+00	END	END
-8.0000000e+01	1.6209098e+00	-8.0000000e+01	1.6209407e+00	-8.0000000e+01	1.6209341e+00	-8.0000000e+01	1.6209334e+00	-8.0000000e+01	1.6209152e+00	-8.0000000e+01	1.6209142e+00	-8.0000000e+01	1.6209124e+00	-8.0000000e+01	1.6209120e+00	END	END
-7.9000000e+01	1.6106461e+00	-7.9000000e+01	1.6106786e+00	-7.9000000e+01	1.6106716e+00	-7.9000000e+01	1.6106708e+00	-7.9000000e+01	1.6106516e+00	-7.9000000e+01	1.6106507e+00	-7.9000000e+01	1.6106488e+00	-7.9000000e+01	1.6106483e+00	END	END
-7.8000000e+01	1.5994540e+00	-7.8000000e+01	1.5994880e+00	-7.8000000e+01	1.5994806e+00	-7.8000000e+01	1.5994799e+00	-7.8000000e+01	1.5994595e+00	-7.8000000e+01	1.5994586e+00	-7.8000000e+01	1.5994565e+00	-7.8000000e+01	1.5994560e+00	END	END
-7.7000000e+01	1.5873466e+00	-7.7000000e+01	1.5873822e+00	-7.7000000e+01	1.5873744e+00	-7.7000000e+01	1.5873736e+00	-7.7000000e+01	1.5873522e+00	-7.7000000e+01	1.5873512e+00	-7.7000000e+01	1.5873491e+00	-7.7000000e+01	1.5873485e+00	END	END
-7.6000000e+01	1.5743380e+00	-7.6000000e+01	1.5743755e+00	-7.6000000e+01	1.5743674e+00	-7.6000000e+01	1.5743665e+00	-7.6000000e+01	1.5743438e+00	-7.6000000e+01	1.5743427e+00	-7.6000000e+01	1.5743405e+00	-7.6000000e+01	1.5743397e+00	END	END
-7.5000000e+01	1.5604438e+00	-7.5000000e+01	1.5604832e+00	-7.5000000e+01	1.5604745e+00	-7.5000000e+01	1.5604736e+00	-7.5000000e+01	1.5604496e+00	-7.5000000e+01	1.5604485e+00	-7.5000000e+01	1.5604461e+00	-7.5000000e+01	1.5604454e+00	END	END
-7.4000000e+01	1.5456800e+00	-7.4000000e+01	1.5457217e+00	-7.4000000e+01	1.5457125e+00	-7.4000000e+01	1.5457114e+00	-7.4000000e+01	1.5456861e+00	-7.4000000e+01	1.5456849e+00	-7.4000000e+01	1.5456824e+00	-7.4000000e+01	1.5456817e+00	END	END
-7.3000000e+01	1.5300646e+00	-7.3000000e+01	1.5301082e+00	-7.3000000e+01	1.5300986e+00	-7.3000000e+01	1.5300975e+00	-7.3000000e+01	1.5300707e+00	-7.3000000e+01	1.5300695e+00	-7.3000000e+01	1.5300667e+00	-7.3000000e+01	1.5300660e+00	END	END
-7.2000000e+01	1.5136155e+00	-7.2000000e+01	1.5136614e+00	-7.2000000e+01	1.5136513e+00	-7.2000000e+01	1.5136501e+00	-7.2000000e+01	1.5136217e+00	-7.2000000e+01	1.5136204e+00	-7.2000000e+01	1.5136176e+00	-7.2000000e+01	1.5136168e+00	END	END
-7.1000000e+01	1.4963523e+00	-7.1000000e+01	1.4964006e+00	-7.1000000e+01	1.4963899e+00	-7.1000000e+01	1.4963886e+00	-7.1000000e+01	1.4963585e+00	-7.1000000e+01	1.4963572e+00	-7.1000000e+01	1.4963542e+00	-7.1000000e+01	1.4963534e+00	END	END
-7.0000000e+01	1.4782954e+00	-7.0000000e+01	1.4783462e+00	-7.0000000e+01	1.4783349e+00	-7.0000000e+01	1.4783335e+00	-7.0000000e+01	1.4783016e+00	-7.0000000e+01	1.4783003e+00	-7.0000000e+01	1.4782971e+00	-7.0000000e+01	1.4782963e+00	END	END
-6.9000000e+01	1.4594661e+00	-6.9000000e+01	1.4595196e+00	-6.9000000e+01	1.4595076e+00	-6.9000000e+01	1.4595062e+00	-6.9000000e+01	1.4594724e+00	-6.9000000e+01	1.4594710e+00	-6.9000000e+01	1.4594676e+00	-6.9000000e+01	1.4594667e+00	END	END
-6.8000000e+01	1.4398867e+00	-6.8000000e+01	1.4399431e+00	-6.8000000e+01	1.4399303e+00	-6.8000000e+01	1.4399287e+00	-6.8000000e+01	1.4398929e+00	-6.8000000e+01	1.4398915e+00	-6.8000000e+01	1.4398879e+00	-6.8000000e+01	1.4398868e+00	END	END
-6.7000000e+01	1.4195802e+00	-6.7000000e+01	1.4196396e+00	-6.7000000e+01	1.4196261e+00	-6.7000000e+01	1.4196244e+00	-6.7000000e+01	1.4195864e+00	-6.7000000e+01	1.4195850e+00	-6.7000000e+01	1.4195812e+00	-6.7000000e+01	1.4195800e+00	END	END
-6.6000000e+01	1.3985708e+00	-6.6000000e+01	1.3986334e+00	-6.6000000e+01	1.3986192e+00	-6.6000000e+01	1.3986173e+00	-6.6000000e+01	1.3985770e+00	-6.6000000e+01	1.3985754e+00	-6.6000000e+01	1.3985714e+00	-6.6000000e+01	1.3985702e+00	END	END
-6.5000000e+01	1.3768833e+00	-6.5000000e+01	1.3769492e+00	-6.5000000e+01	1.3769342e+00	-6.5000000e+01	1.3769321e+00	-6.5000000e+01	1.3768892e+00	-6.5000000e+01	1.3768877e+00	-6.5000000e+01	1.3768834e+00	-6.5000000e+01	1.3768821e+00	END	END
-6.4000000e+01	1.3545433e+00	-6.4000000e+01	1.3546128e+00	-6.4000000e+01	1.3545969e+00	-6.4000000e+01	1.3545947e+00	-6.4000000e+01	1.3545492e+00	-6.4000000e+01	1.3545475e+00	-6.4000000e+01	1.3545430e+00	-6.4000000e+01	1.3545415e+00	END	END
-6.3000000e+01	1.3315774e+00	-6.3000000e+01	1.3316507e+00	-6.3000000e+01	1.3316338e+00	-6.3000000e+01	1.3316314e+00	-6.3000000e+01	1.3315830e+00	-6.3000000e+01	1.3315814e+00	-6.3000000e+01	1.3315765e+00	-6.3000000e+01	1.3315750e+00	END	END
-6.2000000e+01	1.3080127e+00	-6.2000000e+01	1.3080902e+00	-6.2000000e+01	1.3080722e+00	-6.2000000e+01	1.3080697e+00	-6.2000000e+01	1.3080181e+00	-6.2000000e+01	1.3080164e+00	-6.2000000e+01	1.3080112e+00	-6.2000000e+01	1.3080096e+00	END	END
-6.1000000e+01	1.2838773e+00	-6.1000000e+01	1.2839592e+00	-6.1000000e+01	1.2839401e+00	-6.1000000e+01	1.2839373e+00	-6.1000000e+01	1.2838824e+00	-6.1000000e+01	1.2838806e+00	-6.1000000e+01	1.2838750e+00	-6.1000000e+01	1.2838733e+00	END	END
-6.0000000e+01	1.2591997e+00	-6.0000000e+01	1.2592863e+00	-6.0000000e+01	1.2592659e+00	-6.0000000e+01	1.2592630e+00	-6.0000000e+01	1.2592044e+00	-6.0000000e+01	1.2592026e+00	-6.0000000e+01	1.2591966e+00	-6.0000000e+01	1.2591949e+00	END	END
-5.9000000e+01	1.2340094e+00	-5.9000000e+01	1.2341009e+00	-5.9000000e+01	1.2340792e+00	-5.9000000e+01	1.2340761e+00	-5.9000000e+01	1.2340136e+00	-5.9000000e+01	1.2340117e+00	-5.9000000e+01	1.2340053e+00	-5.9000000e+01	1.2340034e+00	END	END
-5.8000000e+01	1.2083362e+00	-5.8000000e+01	1.2084330e+00	-5.8000000e+01	1.2084100e+00	-5.8000000e+01	1.2084066e+00	-5.8000000e+01	1.2083397e+00	-5.8000000e+01	1.2083379e+00	-5.8000000e+01	1.2083310e+00	-5.8000000e+01	1.2083290e+00	END	END
-5.7000000e+01	1.1822107e+00	-5.7000000e+01	1.1823133e+00	-5.7000000e+01	1.1822888e+00	-5.7000000e+01	1.1822850e+00	-5.7000000e+01	1.1822135e+00	-5.7000000e+01	1.1822116e+00	-5.7000000e+01	1.1822042e+00	-5.7000000e+01	1.1822021e+00	END	END
-5.6000000e+01	1.1556640e+00	-5.6000000e+01	1.1557727e+00	-5.6000000e+01	1.1557465e+00	-5.6000000e+01	1.1557424e+00	-5.6000000e+01	1.1556659e+00	-5.6000000e+01	1.1556640e+00	-5.6000000e+01	1.1556561e+00	-5.6000000e+01	1.1556538e+00	END	END
-5.5000000e+01	1.1287277e+00	-5.5000000e+01	1.1288429e+00	-5.5000000e+01	1.1288151e+00	-5.5000000e+01	1.1288106e+00	-5.5000000e+01	1.1287286e+00	-5.5000000e+01	1.1287266e+00	-5.5000000e+01	1.1287181e+00	-5.5000000e+01	1.1287156e+00	END	END
-5.4000000e+01	1.1014339e+00	-5.4000000e+01	1.1015562e+00	-5.4000000e+01	1.1015264e+00	-5.4000000e+01	1.1015216e+00	-5.4000000e+01	1.1014336e+00	-5.4000000e+01	1.1014316e+00	-5.4000000e+01	1.1014224e+00	-5.4000000e+01	1.1014198e+00	END	END
-5.3000000e+01	1.0738151e+00	-5.3000000e+01	1.0739452e+00	-5.3000000e+01	1.0739132e+00	-5.3000000e+01	1.0739080e+00	-5.3000000e+01	1.0738134e+00	-5.3000000e+01	1.0738114e+00	-5.3000000e+01	1.0738016e+00	-5.3000000e+01	1.0737988e+00	END	END
-5.2000000e+01	1.0459044e+00	-5.2000000e+01	1.0460427e+00	-5.2000000e+01	1.0460086e+00	-5.2000000e+01	1.0460029e+00	-5.2000000e+01	1.0459012e+00	-5.2000000e+01	1.0458992e+00	-5.2000000e+01	1.0458885e+00	-5.2000000e+01	1.0458854e+00	END	END
-5.1000000e+01	1.0177351e+00	-5.1000000e+01	1.0178823e+00	-5.1000000e+01	1.0178457e+00	-5.1000000e+01	1.0178396e+00	-5.1000000e+01	1.0177300e+00	-5.1000000e+01	1.0177280e+00	-5.1000000e+01	1.0177165e+00	-5.1000000e+01	1.0177132e+00	END	END
-5.0000000e+01	9.8934096e-01	-5.0000000e+01	9.8949772e-01	-5.0000000e+01	9.8945850e-01	-5.0000000e+01	9.8945171e-01	-5.0000000e+01	9.8933351e-01	-5.0000000e+01	9.8933154e-01	-5.0000000e+01	9.8931915e-01	-5.0000000e+01	9.8931551e-01	END	END
-4.9000000e+01	9.6075577e-01	-4.9000000e+01	9.6092302e-01	-4.9000000e+01	9.6088088e-01	-4.9000000e+01	9.6087343e-01	-4.9000000e+01	9.6074575e-01	-4.9000000e+01	9.6074384e-01	-4.9000000e+01	9.6073031e-01	-4.9000000e+01	9.6072644e-01	END	END
-4.8000000e+01	9.3201387e-01	-4.8000000e+01	9.3219244e-01	-4.8000000e+01	9.3214709e-01	-4.8000000e+01	9.3213898e-01	-4.8000000e+01	9.3200076e-01	-4.8000000e+01	9.3199897e-01	-4.8000000e+01	9.3198431e-01	-4.8000000e+01	9.3198007e-01	END	END
-4.7000000e+01	9.0314966e-01	-4.7000000e+01	9.0334058e-01	-4.7000000e+01	9.0329176e-01	-4.7000000e+01	9.0328288e-01	-4.7000000e+01	9.0313298e-01	-4.7000000e+01	9.0313125e-01	-4.7000000e+01	9.0311527e-01	-4.7000000e+01	9.0311068e-01	END	END
-4.6000000e+01	8.7419778e-01	-4.6000000e+01	8.7440211e-01	-4.6000000e+01	8.7434947e-01	-4.6000000e+01	8.7433970e-01	-4.6000000e+01	8.7417686e-01	-4.6000000e+01	8.7417531e-01	-4.6000000e+01	8.7415785e-01	-4.6000000e+01	8.7415284e-01	END	END
-4.5000000e+01	8.4519285e-01	-4.5000000e+01	8.4541190e-01	-4.5000000e+01	8.4535503e-01	-4.5000000e+01	8.4534431e-01	-4.5000000e+01	8.4516704e-01	-4.5000000e+01	8.4516567e-01	-4.5000000e+01	8.4514660e-01	-4.5000000e+01	8.4514111e-01	END	END
-4.4000000e+01	8.1616974e-01	-4.4000000e+01	8.1640488e-01	-4.4000000e+01	8.1634337e-01	-4.4000000e+01	8.1633151e-01	-4.4000000e+01	8.1613821e-01	-4.4000000e+01	8.1613702e-01	-4.4000000e+01	8.1611615e-01	-4.4000000e+01	8.1611013e-01	END	END
-4.3000000e+01	7.8716332e-01	-4.3000000e+01	7.8741610e-01	-4.3000000e+01	7.8734940e-01	-4.3000000e+01	7.8733635e-01	-4.3000000e+01	7.8712493e-01	-4.3000000e+01	7.8712410e-01	-4.3000000e+01	7.8710115e-01	-4.3000000e+01	7.8709453e-01	END	END
-4.2000000e+01	7.5820827e-01	-4.2000000e+01	7.5848055e-01	-4.2000000e+01	7.5840813e-01	-4.2000000e+01	7.5839365e-01	-4.2000000e+01	7.5816196e-01	-4.2000000e+01	7.5816154e-01	-4.2000000e+01	7.5813621e-01	-4.2000000e+01	7.5812894e-01	END	END
-4.1000000e+01	7.2933948e-01	-4.1000000e+01	7.2963321e-01	-4.1000000e+01	7.2955447e-01	-4.1000000e+01	7.2953838e-01	-4.1000000e+01	7.2928381e-01	-4.1000000e+01	7.2928387e-01	-4.1000000e+01	7.2925586e-01	-4.1000000e+01	7.2924781e-01	END	END
-4.0000000e+01	7.0059156e-01	-4.0000000e+01	7.0090902e-01	-4.0000000e+01	7.0082325e-01	-4.0000000e+01	7.0080531e-01	-4.0000000e+01	7.0052475e-01	-4.0000000e+01	7.0052546e-01	-4.0000000e+01	7.0049441e-01	-4.0000000e+01	7.0048547e-01	END	END
-3.9000000e+01	6.7199904e-01	-3.9000000e+01	6.7234284e-01	-3.9000000e+01	6.7224908e-01	-3.9000000e+01	6.7222911e-01	-3.9000000e+01	6.7191899e-01	-3.9000000e+01	6.7192048e-01	-3.9000000e+01	6.7188597e-01	-3.9000000e+01	6.7187601e-01	END	END
-3.8000000e+01	6.4359605e-01	-3.8000000e+01	6.4396924e-01	-3.8000000e+01	6.4386660e-01	-3.8000000e+01	6.4384431e-01	-3.8000000e+01	6.4350039e-01	-3.8000000e+01	6.4350283e-01	-3.8000000e+01	6.4346427e-01	-3.8000000e+01	6.4345318e-01	END	END
-3.7000000e+01	6.1541677e-01	-3.7000000e+01	6.1582273e-01	-3.7000000e+01	6.1571002e-01	-3.7000000e+01	6.1568499e-01	-3.7000000e+01	6.1530232e-01	-3.7000000e+01	6.1530596e-01	-3.7000000e+01	6.1526275e-01	-3.7000000e+01	6.1525035e-01	END	END
-3.6000000e+01	5.8749467e-01	-3.6000000e+01	5.8793753e-01	-3.6000000e+01	5.8781344e-01	-3.6000000e+01	5.8778530e-01	-3.6000000e+01	5.8735782e-01	-3.6000000e+01	5.8736300e-01	-3.6000000e+01	5.8731437e-01	-3.6000000e+01	5.8730036e-01	END	END
