Angle of Attack [deg]	Drag Coefficient Cd [-]	Angle of Attack [deg]	Drag Coefficient Cd [-]
-7.2000000e+01	1.5136501e+00	END	END
-7.1000000e+01	1.4963886e+00	END	END
-7.0000000e+01	1.4783335e+00	END	END
-6.9000000e+01	1.4595062e+00	END	END
-6.8000000e+01	1.4399287e+00	END	END
-6.7000000e+01	1.4196244e+00	END	END
-6.6000000e+01	1.3986173e+00	END	END
-6.5000000e+01	1.3769321e+00	END	END
-6.4000000e+01	1.3545947e+00	END	END
-6.3000000e+01	1.3316314e+00	END	END
-6.2000000e+01	1.3080697e+00	END	END
-6.1000000e+01	1.2839373e+00	END	END
-6.0000000e+01	1.2592630e+00	END	END
-5.9000000e+01	1.2340761e+00	END	END
-5.8000000e+01	1.2084066e+00	END	END
-5.7000000e+01	1.1822850e+00	END	END
-5.6000000e+01	1.1557424e+00	END	END
-5.5000000e+01	1.1288106e+00	END	END
-5.4000000e+01	1.1015216e+00	END	END
-5.3000000e+01	1.0739080e+00	END	END
-5.2000000e+01	1.0460029e+00	END	END
-5.1000000e+01	1.0178396e+00	END	END
-5.0000000e+01	9.8945171e-01	END	END
-4.9000000e+01	9.6087343e-01	END	END
-4.8000000e+01	9.3213898e-01	END	END
-4.7000000e+01	9.0328288e-01	END	END
-4.6000000e+01	8.7433970e-01	END	END
-4.5000000e+01	8.4534431e-01	END	END
-4.4000000e+01	8.1633151e-01	END	END
-4.3000000e+01	7.8733635e-01	END	END
-4.2000000e+01	7.5839365e-01	END	END
-4.1000000e+01	7.2953838e-01	END	END
-4.0000000e+01	7.0080531e-01	END	END
-3.9000000e+01	6.7222911e-01	END	END
-3.8000000e+01	6.4384431e-01	END	END
-3.7000000e+01	6.1568499e-01	END	END
-3.6000000e+01	5.8778530e-01	END	END
-3.5000000e+01	5.6017870e-01	END	END
-3.4000000e+01	5.3289849e-01	END	END
-3.3000000e+01	5.0597739e-01	END	END
-3.2000000e+01	4.7944754e-01	END	END
-3.1000000e+01	4.5334056e-01	END	END
-3.0000000e+01	4.2768735e-01	END	END
-2.9000000e+01	4.0251788e-01	END	END
-2.8000000e+01	3.7786129e-01	END	END
-2.7000000e+01	3.5374549e-01	END	END
-2.6000000e+01	3.3019710e-01	END	END
-2.5000000e+01	3.0724108e-01	END	END
-2.4000000e+01	2.8490037e-01	END	END
-2.3000000e+01	2.6319534e-01	END	END
-2.2000000e+01	2.4214289e-01	END	END
-2.1000000e+01	2.2175545e-01	END	END
-2.0000000e+01	2.0203914e-01	END	END
-1.9000000e+01	1.8299113e-01	END	END
-1.8000000e+01	1.6459554e-01	END	END
-1.7000000e+01	1.4681719e-01	END	END
-1.6000000e+01	1.2959188e-01	END	END
-1.5000000e+01	1.1281292e-01	END	END
-1.4000000e+01	9.6315928e-02	END	END
-1.3000000e+01	7.9879008e-02	END	END
-1.2000000e+01	6.3302919e-02	END	END
-1.1000000e+01	4.6745688e-02	END	END
-1.0000000e+01	3.1474508e-02	END	END
-9.0000000e+00	2.0152707e-02	END	END
-8.0000000e+00	1.4489056e-02	END	END
-7.0000000e+00	1.2843598e-02	END	END
-6.0000000e+00	1.2572894e-02	END	END
-5.0000000e+00	1.2475898e-02	END	END
-4.0000000e+00	3.1800002e-02	END	END
-3.5000000e+00	2.8689999e-02	END	END
-3.0000000e+00	2.6040001e-02	END	END
-2.5000000e+00	2.4890000e-02	END	END
-2.0000000e+00	2.3140000e-02	END	END
-1.5000000e+00	2.0870000e-02	END	END
-1.0000000e+00	1.9450000e-02	END	END
-5.0000000e-01	1.9050000e-02	END	END
0.0000000e+00	1.8910000e-02	END	END
5.0000000e-01	1.8710000e-02	END	END
1.0000000e+00	1.8500000e-02	END	END
1.5000000e+00	1.8209999e-02	END	END
2.0000000e+00	1.7920000e-02	END	END
2.5000000e+00	1.7640000e-02	END	END
3.0000000e+00	1.7250000e-02	END	END
3.5000000e+00	1.7309999e-02	END	END
4.0000000e+00	1.7370000e-02	END	END
4.5000000e+00	1.7550001e-02	END	END
5.0000000e+00	1.8010000e-02	END	END
5.5000000e+00	1.8619999e-02	END	END
6.0000000e+00	1.9440001e-02	END	END
6.5000000e+00	2.0150000e-02	END	END
7.0000000e+00	2.0959999e-02	END	END
7.5000000e+00	2.1940000e-02	END	END
8.0000000e+00	2.2960000e-02	END	END
8.5000000e+00	2.4040001e-02	END	END
9.0000000e+00	2.5300000e-02	END	END
9.5000000e+00	2.6480000e-02	END	END
1.0000000e+01	2.7729999e-02	END	END
1.0500000e+01	2.9279999e-02	END	END
1.1000000e+01	3.1360000e-02	END	END
1.1500000e+01	3.3840001e-02	END	END
1.2000000e+01	3.6729999e-02	END	END
1.2500000e+01	4.0199999e-02	END	END
1.3000000e+01	4.4790000e-02	END	END
1.3500000e+01	5.1290002e-02	END	END
1.4000000e+01	5.9340000e-02	END	END
1.4500000e+01	6.6900000e-02	END	END
1.5000000e+01	7.4010000e-02	END	END
1.5500000e+01	8.0440000e-02	END	END
1.6000000e+01	8.9060001e-02	END	END
1.6500000e+01	9.8169997e-02	END	END
1.7000000e+01	1.0678000e-01	END	END
1.7500000e+01	1.1724000e-01	END	END
1.8500000e+01	2.0923001e-01	END	END
1.9500000e+01	2.4357000e-01	END	END
2.0000000e+01	1.6494022e-01	END	END
2.1000000e+01	1.8494245e-01	END	END
2.2000000e+01	2.0594698e-01	END	END
2.3000000e+01	2.2789691e-01	END	END
2.4000000e+01	2.5073773e-01	END	END
2.5000000e+01	2.7441734e-01	END	END
2.6000000e+01	2.9888612e-01	END	END
2.7000000e+01	3.2409653e-01	END	END
2.8000000e+01	3.5000300e-01	END	END
2.9000000e+01	3.7656167e-01	END	END
3.0000000e+01	4.0372998e-01	END	END
3.1000000e+01	4.3146664e-01	END	END
3.2000000e+01	4.5973128e-01	END	END
3.3000000e+01	4.8848420e-01	END	END
3.4000000e+01	5.1768637e-01	END	END
3.5000000e+01	5.4729915e-01	END	END
3.6000000e+01	5.7728422e-01	END	END
3.7000000e+01	6.0760343e-01	END	END
3.8000000e+01	6.3821888e-01	END	END
3.9000000e+01	6.6909266e-01	END	END
4.0000000e+01	7.0018697e-01	END	END
4.1000000e+01	7.3146397e-01	END	END
4.2000000e+01	7.6288587e-01	END	END
4.3000000e+01	7.9441488e-01	END	END
4.4000000e+01	8.2601321e-01	END	END
4.5000000e+01	8.5764295e-01	END	END
4.6000000e+01	8.8926643e-01	END	END
4.7000000e+01	9.2084593e-01	END	END
4.8000000e+01	9.5234370e-01	END	END
4.9000000e+01	9.8372227e-01	END	END
5.0000000e+01	1.0149442e+00	END	END
5.1000000e+01	1.0459723e+00	END	END
5.2000000e+01	1.0767696e+00	END	END
5.3000000e+01	1.1072991e+00	END	END
5.4000000e+01	1.1375245e+00	END	END
5.5000000e+01	1.1674095e+00	END	END
5.6000000e+01	1.1969184e+00	END	END
5.7000000e+01	1.2260158e+00	END	END
5.8000000e+01	1.2546668e+00	END	END
5.9000000e+01	1.2828370e+00	END	END
6.0000000e+01	1.3104925e+00	END	END
6.1000000e+01	1.3376001e+00	END	END
6.2000000e+01	1.3641269e+00	END	END
6.3000000e+01	1.3900412e+00	END	END
6.4000000e+01	1.4153116e+00	END	END
6.5000000e+01	1.4399076e+00	END	END
6.6000000e+01	1.4637994e+00	END	END
6.7000000e+01	1.4869581e+00	END	END
6.8000000e+01	1.5093560e+00	END	END
6.9000000e+01	1.5309656e+00	END	END
7.0000000e+01	1.5517609e+00	END	END
7.1000000e+01	1.5717168e+00	END	END
7.2000000e+01	1.5908089e+00	END	END
7.3000000e+01	1.6090142e+00	END	END
7.4000000e+01	1.6263106e+00	END	END
