# Export File Created with QBlade CE v2.0.8.6_beta windows on 08.04.2025 at 09:46:56
CLARK_Y_AIRFOIL_Re0.500_M0.00_N9.0 360 M	CLARK_Y_AIRFOIL_Re0.500_M0.00_N9.0
Angle of Attack [deg]	Drag Coefficient Cd [-]	Angle of Attack [deg]	Drag Coefficient Cd [-]
-1.8000000e+02	6.0000219e-03	-4.0000000e+00	1.0940000e-02
-1.7900000e+02	6.5219803e-03	-3.5000000e+00	1.0410000e-02
-1.7800000e+02	8.0861533e-03	-3.0000000e+00	1.0010000e-02
-1.7700000e+02	1.0689041e-02	-2.5000000e+00	9.5499996e-03
-1.7600000e+02	1.4325881e-02	-2.0000000e+00	9.1800001e-03
-1.7500000e+02	1.8990664e-02	-1.5000000e+00	8.5000005e-03
-1.7400000e+02	2.4676137e-02	-1.0000000e+00	8.1200004e-03
-1.7300000e+02	3.1373817e-02	-5.0000000e-01	7.5200000e-03
-1.7200000e+02	3.9074007e-02	0.0000000e+00	6.7099999e-03
-1.7100000e+02	4.7765810e-02	5.0000000e-01	6.5899999e-03
-1.7000000e+02	5.7437144e-02	1.0000000e+00	6.7400001e-03
-1.6900000e+02	6.8074748e-02	1.5000000e+00	6.8999999e-03
-1.6800000e+02	7.9664230e-02	2.0000000e+00	7.0900000e-03
-1.6700000e+02	9.2190050e-02	2.5000000e+00	7.3099998e-03
-1.6600000e+02	1.0563558e-01	3.0000000e+00	7.6100002e-03
-1.6500000e+02	1.1998308e-01	3.5000000e+00	7.9800002e-03
-1.6400000e+02	1.3521379e-01	4.0000000e+00	8.5100001e-03
-1.6300000e+02	1.5130787e-01	4.5000000e+00	9.1399997e-03
-1.6200000e+02	1.6824448e-01	5.0000000e+00	9.7500002e-03
-1.6100000e+02	1.8600184e-01	5.5000000e+00	1.0290000e-02
-1.6000000e+02	2.0455714e-01	6.0000000e+00	1.0780000e-02
-1.5900000e+02	2.2388670e-01	6.5000000e+00	1.1290000e-02
-1.5800000e+02	2.4396594e-01	7.0000000e+00	1.1810000e-02
-1.5700000e+02	2.6476941e-01	7.5000000e+00	1.2340000e-02
-1.5600000e+02	2.8627083e-01	8.0000000e+00	1.2980000e-02
-1.5500000e+02	3.0844310e-01	8.5000000e+00	1.3930000e-02
-1.5400000e+02	3.3125839e-01	9.0000000e+00	1.5450000e-02
-1.5300000e+02	3.5468811e-01	9.5000000e+00	1.6780000e-02
-1.5200000e+02	3.7870303e-01	1.0000000e+01	1.8010000e-02
-1.5100000e+02	4.0327322e-01	1.0500000e+01	1.9500000e-02
-1.5000000e+02	4.2836812e-01	1.1000000e+01	2.2290001e-02
-1.4900000e+02	4.5395663e-01	1.1500000e+01	2.4350001e-02
-1.4800000e+02	4.8000708e-01	1.2000000e+01	2.6839999e-02
-1.4700000e+02	5.0648725e-01	1.2500000e+01	2.9990001e-02
-1.4600000e+02	5.3336459e-01	1.3000000e+01	3.4030002e-02
-1.4500000e+02	5.6060600e-01	1.3500000e+01	3.9329998e-02
-1.4400000e+02	5.8817798e-01	1.4000000e+01	4.6300001e-02
-1.4300000e+02	6.1604679e-01	1.4500000e+01	5.3720001e-02
-1.4200000e+02	6.4417827e-01	1.5000000e+01	5.9859999e-02
-1.4100000e+02	6.7253816e-01	1.5500000e+01	6.7230001e-02
-1.4000000e+02	7.0109177e-01	1.6000000e+01	7.5640000e-02
-1.3900000e+02	7.2980434e-01	1.6500000e+01	8.4720001e-02
-1.3800000e+02	7.5864100e-01	1.7000000e+01	9.4190001e-02
-1.3700000e+02	7.8756666e-01	1.7500000e+01	1.0401000e-01
-1.3600000e+02	8.1654632e-01	1.8000000e+01	1.1410000e-01
-1.3500000e+02	8.4554482e-01	1.8500000e+01	1.2426000e-01
-1.3400000e+02	8.7452716e-01	1.9000000e+01	1.3474000e-01
-1.3300000e+02	9.0345830e-01	1.9500000e+01	1.4535999e-01
-1.3200000e+02	9.3230331e-01	2.0000000e+01	1.5617000e-01
-1.3100000e+02	9.6102744e-01	END	END
-1.3000000e+02	9.8959619e-01	END	END
-1.2900000e+02	1.0179751e+00	END	END
-1.2800000e+02	1.0461302e+00	END	END
-1.2700000e+02	1.0740277e+00	END	END
-1.2600000e+02	1.1016340e+00	END	END
-1.2500000e+02	1.1289163e+00	END	END
-1.2400000e+02	1.1558418e+00	END	END
-1.2300000e+02	1.1823784e+00	END	END
-1.2200000e+02	1.2084943e+00	END	END
-1.2100000e+02	1.2341586e+00	END	END
-1.2000000e+02	1.2593405e+00	END	END
-1.1900000e+02	1.2840101e+00	END	END
-1.1800000e+02	1.3081380e+00	END	END
-1.1700000e+02	1.3316956e+00	END	END
-1.1600000e+02	1.3546547e+00	END	END
-1.1500000e+02	1.3769883e+00	END	END
-1.1400000e+02	1.3986697e+00	END	END
-1.1300000e+02	1.4196733e+00	END	END
-1.1200000e+02	1.4399743e+00	END	END
-1.1100000e+02	1.4595485e+00	END	END
-1.1000000e+02	1.4783727e+00	END	END
-1.0900000e+02	1.4964247e+00	END	END
-1.0800000e+02	1.5136832e+00	END	END
-1.0700000e+02	1.5301279e+00	END	END
-1.0600000e+02	1.5457391e+00	END	END
-1.0500000e+02	1.5604985e+00	END	END
-1.0400000e+02	1.5743887e+00	END	END
-1.0300000e+02	1.5873934e+00	END	END
-1.0200000e+02	1.5994971e+00	END	END
-1.0100000e+02	1.6106857e+00	END	END
-1.0000000e+02	1.6209458e+00	END	END
-9.9000000e+01	1.6302654e+00	END	END
-9.8000000e+01	1.6386336e+00	END	END
-9.7000000e+01	1.6460404e+00	END	END
-9.6000000e+01	1.6524773e+00	END	END
-9.5000000e+01	1.6579365e+00	END	END
-9.4000000e+01	1.6624116e+00	END	END
-9.3000000e+01	1.6658974e+00	END	END
-9.2000000e+01	1.6683897e+00	END	END
-9.1000000e+01	1.6698856e+00	END	END
-9.0000000e+01	1.6703836e+00	END	END
-8.9000000e+01	1.6698827e+00	END	END
-8.8000000e+01	1.6683836e+00	END	END
-8.7000000e+01	1.6658882e+00	END	END
-8.6000000e+01	1.6623994e+00	END	END
-8.5000000e+01	1.6579212e+00	END	END
-8.4000000e+01	1.6524589e+00	END	END
-8.3000000e+01	1.6460189e+00	END	END
-8.2000000e+01	1.6386088e+00	END	END
-8.1000000e+01	1.6302373e+00	END	END
-8.0000000e+01	1.6209142e+00	END	END
-7.9000000e+01	1.6106507e+00	END	END
-7.8000000e+01	1.5994586e+00	END	END
-7.7000000e+01	1.5873512e+00	END	END
-7.6000000e+01	1.5743427e+00	END	END
-7.5000000e+01	1.5604485e+00	END	END
-7.4000000e+01	1.5456849e+00	END	END
-7.3000000e+01	1.5300695e+00	END	END
-7.2000000e+01	1.5136204e+00	END	END
-7.1000000e+01	1.4963572e+00	END	END
-7.0000000e+01	1.4783003e+00	END	END
-6.9000000e+01	1.4594710e+00	END	END
