# Export File Created with QBlade CE v2.0.8.6_beta windows on 08.04.2025 at 09:07:41
CLARK_Y_AIRFOIL_Re0.045_M0.00_N9.0 360 M	CLARK_Y_AIRFOIL_Re0.045_M0.00_N9.0
Angle of Attack [deg]	Drag Coefficient Cd [-]	Angle of Attack [deg]	Drag Coefficient Cd [-]
-1.8000000e+02	6.0000126e-03	-4.0000000e+00	4.8119999e-02
-1.7900000e+02	6.5219710e-03	-3.5000000e+00	4.2149998e-02
-1.7800000e+02	8.0861449e-03	-3.0000000e+00	3.8309999e-02
-1.7700000e+02	1.0689033e-02	-2.5000000e+00	3.5259999e-02
-1.7600000e+02	1.4325876e-02	-2.0000000e+00	3.3119999e-02
-1.7500000e+02	1.8990660e-02	-1.5000000e+00	3.1660002e-02
-1.7400000e+02	2.4676135e-02	-1.0000000e+00	2.9880000e-02
-1.7300000e+02	3.1373817e-02	-5.0000000e-01	2.7559999e-02
-1.7200000e+02	3.9074015e-02	0.0000000e+00	2.9039999e-02
-1.7100000e+02	4.7765821e-02	5.0000000e-01	3.1780001e-02
-1.7000000e+02	5.7437159e-02	1.0000000e+00	3.4550000e-02
-1.6900000e+02	6.8074770e-02	1.5000000e+00	3.6449999e-02
-1.6800000e+02	7.9664260e-02	2.0000000e+00	3.8240001e-02
-1.6700000e+02	9.2190087e-02	2.5000000e+00	3.9880000e-02
-1.6600000e+02	1.0563563e-01	3.0000000e+00	4.1359998e-02
-1.6500000e+02	1.1998314e-01	3.5000000e+00	4.2479999e-02
-1.6400000e+02	1.3521385e-01	4.0000000e+00	4.3779999e-02
-1.6300000e+02	1.5130794e-01	4.5000000e+00	4.6030000e-02
-1.6200000e+02	1.6824457e-01	5.0000000e+00	4.7529999e-02
-1.6100000e+02	1.8600194e-01	5.5000000e+00	4.9980000e-02
-1.6000000e+02	2.0455725e-01	6.0000000e+00	5.4910000e-02
-1.5900000e+02	2.2388685e-01	6.5000000e+00	5.8759999e-02
-1.5800000e+02	2.4396610e-01	7.0000000e+00	6.2080000e-02
-1.5700000e+02	2.6476958e-01	7.5000000e+00	6.3249998e-02
-1.5600000e+02	2.8627101e-01	8.0000000e+00	7.0510000e-02
-1.5500000e+02	3.0844331e-01	8.5000000e+00	7.5190000e-02
-1.5400000e+02	3.3125862e-01	9.0000000e+00	5.0730001e-02
-1.5300000e+02	3.5468841e-01	9.5000000e+00	5.0439999e-02
-1.5200000e+02	3.7870336e-01	1.0000000e+01	5.1970001e-02
-1.5100000e+02	4.0327355e-01	1.0500000e+01	5.9880000e-02
-1.5000000e+02	4.2836851e-01	1.7500000e+01	2.2510000e-01
-1.4900000e+02	4.5395705e-01	1.8000000e+01	2.3514000e-01
-1.4800000e+02	4.8000750e-01	1.8500000e+01	2.3818000e-01
-1.4700000e+02	5.0648773e-01	1.9000000e+01	2.4933000e-01
-1.4600000e+02	5.3336513e-01	1.9500000e+01	2.0682000e-01
-1.4500000e+02	5.6060654e-01	2.0000000e+01	2.6075000e-01
-1.4400000e+02	5.8817858e-01	END	END
-1.4300000e+02	6.1604744e-01	END	END
-1.4200000e+02	6.4417905e-01	END	END
-1.4100000e+02	6.7253894e-01	END	END
-1.4000000e+02	7.0109260e-01	END	END
-1.3900000e+02	7.2980523e-01	END	END
-1.3800000e+02	7.5864196e-01	END	END
-1.3700000e+02	7.8756773e-01	END	END
-1.3600000e+02	8.1654745e-01	END	END
-1.3500000e+02	8.4554607e-01	END	END
-1.3400000e+02	8.7452847e-01	END	END
-1.3300000e+02	9.0345967e-01	END	END
-1.3200000e+02	9.3230474e-01	END	END
-1.3100000e+02	9.6102899e-01	END	END
-1.3000000e+02	9.8959786e-01	END	END
-1.2900000e+02	1.0179769e+00	END	END
-1.2800000e+02	1.0461321e+00	END	END
-1.2700000e+02	1.0740297e+00	END	END
-1.2600000e+02	1.1016362e+00	END	END
-1.2500000e+02	1.1289185e+00	END	END
-1.2400000e+02	1.1558442e+00	END	END
-1.2300000e+02	1.1823809e+00	END	END
-1.2200000e+02	1.2084970e+00	END	END
-1.2100000e+02	1.2341615e+00	END	END
-1.2000000e+02	1.2593436e+00	END	END
-1.1900000e+02	1.2840134e+00	END	END
-1.1800000e+02	1.3081415e+00	END	END
-1.1700000e+02	1.3316991e+00	END	END
-1.1600000e+02	1.3546586e+00	END	END
-1.1500000e+02	1.3769923e+00	END	END
-1.1400000e+02	1.3986740e+00	END	END
-1.1300000e+02	1.4196779e+00	END	END
-1.1200000e+02	1.4399791e+00	END	END
-1.1100000e+02	1.4595535e+00	END	END
-1.1000000e+02	1.4783781e+00	END	END
-1.0900000e+02	1.4964304e+00	END	END
-1.0800000e+02	1.5136893e+00	END	END
-1.0700000e+02	1.5301342e+00	END	END
-1.0600000e+02	1.5457457e+00	END	END
-1.0500000e+02	1.5605056e+00	END	END
-1.0400000e+02	1.5743963e+00	END	END
-1.0300000e+02	1.5874013e+00	END	END
-1.0200000e+02	1.5995054e+00	END	END
-1.0100000e+02	1.6106944e+00	END	END
-1.0000000e+02	1.6209550e+00	END	END
-9.9000000e+01	1.6302751e+00	END	END
-9.8000000e+01	1.6386437e+00	END	END
-9.7000000e+01	1.6460512e+00	END	END
-9.6000000e+01	1.6524886e+00	END	END
-9.5000000e+01	1.6579484e+00	END	END
-9.4000000e+01	1.6624241e+00	END	END
-9.3000000e+01	1.6659106e+00	END	END
-9.2000000e+01	1.6684036e+00	END	END
-9.1000000e+01	1.6699004e+00	END	END
-9.0000000e+01	1.6703991e+00	END	END
-8.9000000e+01	1.6698991e+00	END	END
-8.8000000e+01	1.6684009e+00	END	END
-8.7000000e+01	1.6659064e+00	END	END
-8.6000000e+01	1.6624186e+00	END	END
-8.5000000e+01	1.6579415e+00	END	END
-8.4000000e+01	1.6524802e+00	END	END
-8.3000000e+01	1.6460414e+00	END	END
-8.2000000e+01	1.6386325e+00	END	END
-8.1000000e+01	1.6302624e+00	END	END
-8.0000000e+01	1.6209407e+00	END	END
-7.9000000e+01	1.6106786e+00	END	END
-7.8000000e+01	1.5994880e+00	END	END
-7.7000000e+01	1.5873822e+00	END	END
-7.6000000e+01	1.5743755e+00	END	END
-7.5000000e+01	1.5604832e+00	END	END
-7.4000000e+01	1.5457217e+00	END	END
-7.3000000e+01	1.5301082e+00	END	END
-7.2000000e+01	1.5136614e+00	END	END
-7.1000000e+01	1.4964006e+00	END	END
-7.0000000e+01	1.4783462e+00	END	END
-6.9000000e+01	1.4595196e+00	END	END
-6.8000000e+01	1.4399431e+00	END	END
-6.7000000e+01	1.4196396e+00	END	END
-6.6000000e+01	1.3986334e+00	END	END
-6.5000000e+01	1.3769492e+00	END	END
-6.4000000e+01	1.3546128e+00	END	END
-6.3000000e+01	1.3316507e+00	END	END
-6.2000000e+01	1.3080902e+00	END	END
-6.1000000e+01	1.2839592e+00	END	END
-6.0000000e+01	1.2592863e+00	END	END
-5.9000000e+01	1.2341009e+00	END	END
-5.8000000e+01	1.2084330e+00	END	END
-5.7000000e+01	1.1823133e+00	END	END
-5.6000000e+01	1.1557727e+00	END	END
-5.5000000e+01	1.1288429e+00	END	END
-5.4000000e+01	1.1015562e+00	END	END
-5.3000000e+01	1.0739452e+00	END	END
-5.2000000e+01	1.0460427e+00	END	END
-5.1000000e+01	1.0178823e+00	END	END
-5.0000000e+01	9.8949772e-01	END	END
-4.9000000e+01	9.6092302e-01	END	END
-4.8000000e+01	9.3219244e-01	END	END
-4.7000000e+01	9.0334058e-01	END	END
-4.6000000e+01	8.7440211e-01	END	END
-4.5000000e+01	8.4541190e-01	END	END
-4.4000000e+01	8.1640488e-01	END	END
-4.3000000e+01	7.8741610e-01	END	END
-4.2000000e+01	7.5848055e-01	END	END
-4.1000000e+01	7.2963321e-01	END	END
-4.0000000e+01	7.0090902e-01	END	END
-3.9000000e+01	6.7234284e-01	END	END
-3.8000000e+01	6.4396924e-01	END	END
-3.7000000e+01	6.1582273e-01	END	END
-3.6000000e+01	5.8793753e-01	END	END
-3.5000000e+01	5.6034744e-01	END	END
-3.4000000e+01	5.3308618e-01	END	END
-3.3000000e+01	5.0618684e-01	END	END
-3.2000000e+01	4.7968227e-01	END	END
-3.1000000e+01	4.5360467e-01	END	END
-3.0000000e+01	4.2798579e-01	END	END
-2.9000000e+01	4.0285680e-01	END	END
-2.8000000e+01	3.7824818e-01	END	END
-2.7000000e+01	3.5418975e-01	END	END
-2.6000000e+01	3.3071047e-01	END	END
-2.5000000e+01	3.0783847e-01	END	END
-2.4000000e+01	2.8560084e-01	END	END
-2.3000000e+01	2.6402369e-01	END	END
-2.2000000e+01	2.4313174e-01	END	END
-2.1000000e+01	2.2294839e-01	END	END
-2.0000000e+01	2.0349523e-01	END	END
-1.9000000e+01	1.8479185e-01	END	END
