# Export File Created with QBlade CE v2.0.8.6_beta windows on 08.04.2025 at 09:05:58
CLARK_Y_AIRFOIL_Re0.020_M0.00_N9.0 360 M	CLARK_Y_AIRFOIL_Re0.020_M0.00_N9.0
Angle of Attack [deg]	Drag Coefficient Cd [-]	Angle of Attack [deg]	Drag Coefficient Cd [-]
-1.8000000e+02	6.0000266e-03	-4.0000000e+00	6.4889997e-02
-1.7900000e+02	6.5219849e-03	-3.5000000e+00	5.6880001e-02
-1.7800000e+02	8.0861580e-03	-3.0000000e+00	5.0940000e-02
-1.7700000e+02	1.0689044e-02	-2.5000000e+00	4.6429999e-02
-1.7600000e+02	1.4325885e-02	-2.0000000e+00	4.2479999e-02
-1.7500000e+02	1.8990668e-02	-1.5000000e+00	3.8780000e-02
-1.7400000e+02	2.4676139e-02	-1.0000000e+00	3.3340000e-02
-1.7300000e+02	3.1373817e-02	-5.0000000e-01	3.4340002e-02
-1.7200000e+02	3.9074007e-02	0.0000000e+00	3.5560001e-02
-1.7100000e+02	4.7765806e-02	5.0000000e-01	3.7020002e-02
-1.7000000e+02	5.7437137e-02	1.0000000e+00	3.8710002e-02
-1.6900000e+02	6.8074740e-02	1.5000000e+00	4.0660001e-02
-1.6800000e+02	7.9664215e-02	2.0000000e+00	4.2909998e-02
-1.6700000e+02	9.2190035e-02	2.5000000e+00	4.5490000e-02
-1.6600000e+02	1.0563556e-01	3.0000000e+00	4.8409998e-02
-1.6500000e+02	1.1998306e-01	3.5000000e+00	5.1679999e-02
-1.6400000e+02	1.3521376e-01	4.0000000e+00	5.5259999e-02
-1.6300000e+02	1.5130784e-01	4.5000000e+00	5.9090000e-02
-1.6200000e+02	1.6824445e-01	5.0000000e+00	6.3110001e-02
-1.6100000e+02	1.8600179e-01	5.5000000e+00	6.7309998e-02
-1.6000000e+02	2.0455708e-01	6.0000000e+00	7.1680002e-02
-1.5900000e+02	2.2388664e-01	6.5000000e+00	7.6219998e-02
-1.5800000e+02	2.4396588e-01	7.0000000e+00	8.0969997e-02
-1.5700000e+02	2.6476935e-01	7.5000000e+00	8.5929997e-02
