# Export File Created with QBlade CE v2.0.8.6_beta windows on 08.04.2025 at 09:48:06
CLARK_Y_AIRFOIL_Re0.750_M0.00_N9.0 360 M	CLARK_Y_AIRFOIL_Re0.750_M0.00_N9.0
Angle of Attack [deg]	Drag Coefficient Cd [-]	Angle of Attack [deg]	Drag Coefficient Cd [-]
-1.8000000e+02	6.0000224e-03	-4.0000000e+00	9.6800001e-03
-1.7900000e+02	6.5219807e-03	-3.5000000e+00	9.3499999e-03
-1.7800000e+02	8.0861542e-03	-3.0000000e+00	8.8400003e-03
-1.7700000e+02	1.0689042e-02	-2.5000000e+00	8.5699996e-03
-1.7600000e+02	1.4325882e-02	-2.0000000e+00	8.3699999e-03
-1.7500000e+02	1.8990666e-02	-1.5000000e+00	8.0100000e-03
-1.7400000e+02	2.4676137e-02	-1.0000000e+00	7.4900002e-03
-1.7300000e+02	3.1373817e-02	-5.0000000e-01	7.1999999e-03
-1.7200000e+02	3.9074007e-02	0.0000000e+00	6.6999998e-03
-1.7100000e+02	4.7765810e-02	5.0000000e-01	6.0200002e-03
-1.7000000e+02	5.7437140e-02	1.0000000e+00	5.8400002e-03
-1.6900000e+02	6.8074748e-02	1.5000000e+00	6.0500000e-03
-1.6800000e+02	7.9664230e-02	2.0000000e+00	6.2699998e-03
-1.6700000e+02	9.2190050e-02	2.5000000e+00	6.5400000e-03
-1.6600000e+02	1.0563558e-01	3.0000000e+00	6.8399999e-03
-1.6500000e+02	1.1998308e-01	3.5000000e+00	7.3099998e-03
-1.6400000e+02	1.3521379e-01	4.0000000e+00	7.9300003e-03
-1.6300000e+02	1.5130787e-01	4.5000000e+00	8.4699998e-03
-1.6200000e+02	1.6824448e-01	5.0000000e+00	8.8999998e-03
-1.6100000e+02	1.8600182e-01	5.5000000e+00	9.3299998e-03
-1.6000000e+02	2.0455712e-01	6.0000000e+00	9.7300000e-03
-1.5900000e+02	2.2388670e-01	6.5000000e+00	1.0170000e-02
-1.5800000e+02	2.4396594e-01	7.0000000e+00	1.0630000e-02
-1.5700000e+02	2.6476941e-01	7.5000000e+00	1.1150000e-02
-1.5600000e+02	2.8627080e-01	8.0000000e+00	1.2170000e-02
-1.5500000e+02	3.0844307e-01	8.5000000e+00	1.3510000e-02
-1.5400000e+02	3.3125836e-01	9.0000000e+00	1.4600000e-02
-1.5300000e+02	3.5468811e-01	9.5000000e+00	1.5570000e-02
-1.5200000e+02	3.7870303e-01	1.0000000e+01	1.7150000e-02
-1.5100000e+02	4.0327320e-01	1.0500000e+01	1.9190000e-02
-1.5000000e+02	4.2836809e-01	1.1000000e+01	2.0819999e-02
-1.4900000e+02	4.5395660e-01	1.1500000e+01	2.2830000e-02
-1.4800000e+02	4.8000705e-01	1.2000000e+01	2.5149999e-02
-1.4700000e+02	5.0648725e-01	1.2500000e+01	2.7580000e-02
-1.4600000e+02	5.3336459e-01	1.3000000e+01	3.0530000e-02
-1.4500000e+02	5.6060594e-01	1.3500000e+01	3.4109998e-02
-1.4400000e+02	5.8817792e-01	1.4000000e+01	3.8530000e-02
-1.4300000e+02	6.1604673e-01	1.4500000e+01	4.4220001e-02
-1.4200000e+02	6.4417827e-01	1.5000000e+01	5.1879998e-02
-1.4100000e+02	6.7253810e-01	1.5500000e+01	6.1850000e-02
-1.4000000e+02	7.0109171e-01	1.6000000e+01	7.1640000e-02
-1.3900000e+02	7.2980428e-01	1.6500000e+01	7.9970002e-02
-1.3800000e+02	7.5864094e-01	1.7000000e+01	8.9160003e-02
-1.3700000e+02	7.8756660e-01	1.7500000e+01	9.8920003e-02
-1.3600000e+02	8.1654626e-01	1.8000000e+01	1.0905000e-01
-1.3500000e+02	8.4554476e-01	1.8500000e+01	1.1933000e-01
-1.3400000e+02	8.7452710e-01	1.9000000e+01	1.2978999e-01
-1.3300000e+02	9.0345818e-01	1.9500000e+01	1.4038000e-01
