Angle of Attack [deg]	Drag Coefficient Cd [-]	Angle of Attack [deg]	Drag Coefficient Cd [-]
-7.3000000e+01	1.5300986e+00	END	END
-7.2000000e+01	1.5136513e+00	END	END
-7.1000000e+01	1.4963899e+00	END	END
-7.0000000e+01	1.4783349e+00	END	END
-6.9000000e+01	1.4595076e+00	END	END
-6.8000000e+01	1.4399303e+00	END	END
-6.7000000e+01	1.4196261e+00	END	END
-6.6000000e+01	1.3986192e+00	END	END
-6.5000000e+01	1.3769342e+00	END	END
-6.4000000e+01	1.3545969e+00	END	END
-6.3000000e+01	1.3316338e+00	END	END
-6.2000000e+01	1.3080722e+00	END	END
-6.1000000e+01	1.2839401e+00	END	END
-6.0000000e+01	1.2592659e+00	END	END
-5.9000000e+01	1.2340792e+00	END	END
-5.8000000e+01	1.2084100e+00	END	END
-5.7000000e+01	1.1822888e+00	END	END
-5.6000000e+01	1.1557465e+00	END	END
-5.5000000e+01	1.1288151e+00	END	END
-5.4000000e+01	1.1015264e+00	END	END
-5.3000000e+01	1.0739132e+00	END	END
-5.2000000e+01	1.0460086e+00	END	END
-5.1000000e+01	1.0178457e+00	END	END
-5.0000000e+01	9.8945850e-01	END	END
-4.9000000e+01	9.6088088e-01	END	END
-4.8000000e+01	9.3214709e-01	END	END
-4.7000000e+01	9.0329176e-01	END	END
-4.6000000e+01	8.7434947e-01	END	END
-4.5000000e+01	8.4535503e-01	END	END
-4.4000000e+01	8.1634337e-01	END	END
-4.3000000e+01	7.8734940e-01	END	END
-4.2000000e+01	7.5840813e-01	END	END
-4.1000000e+01	7.2955447e-01	END	END
-4.0000000e+01	7.0082325e-01	END	END
-3.9000000e+01	6.7224908e-01	END	END
-3.8000000e+01	6.4386660e-01	END	END
-3.7000000e+01	6.1571002e-01	END	END
-3.6000000e+01	5.8781344e-01	END	END
-3.5000000e+01	5.6021047e-01	END	END
-3.4000000e+01	5.3293449e-01	END	END
-3.3000000e+01	5.0601828e-01	END	END
-3.2000000e+01	4.7949430e-01	END	END
-3.1000000e+01	4.5339423e-01	END	END
-3.0000000e+01	4.2774922e-01	END	END
-2.9000000e+01	4.0258962e-01	END	END
-2.8000000e+01	3.7794495e-01	END	END
-2.7000000e+01	3.5384369e-01	END	END
-2.6000000e+01	3.3031321e-01	END	END
-2.5000000e+01	3.0737942e-01	END	END
-2.4000000e+01	2.8506663e-01	END	END
-2.3000000e+01	2.6339707e-01	END	END
-2.2000000e+01	2.4239029e-01	END	END
-2.1000000e+01	2.2206248e-01	END	END
-2.0000000e+01	2.0242521e-01	END	END
-1.9000000e+01	1.8348379e-01	END	END
-1.8000000e+01	1.6523458e-01	END	END
-1.7000000e+01	1.4766102e-01	END	END
-1.6000000e+01	1.3072762e-01	END	END
-1.5000000e+01	1.1437126e-01	END	END
-1.4000000e+01	9.8489992e-02	END	END
-1.3000000e+01	8.2935445e-02	END	END
-1.2000000e+01	6.7534171e-02	END	END
-1.1000000e+01	5.2221395e-02	END	END
-1.0000000e+01	3.7457366e-02	END	END
-9.0000000e+00	2.4865184e-02	END	END
-8.0000000e+00	1.6737740e-02	END	END
-7.0000000e+00	1.3391593e-02	END	END
-6.0000000e+00	1.2615781e-02	END	END
-5.0000000e+00	1.2475925e-02	END	END
-4.0000000e+00	3.9710000e-02	END	END
-3.5000000e+00	3.4710001e-02	END	END
-3.0000000e+00	3.1450000e-02	END	END
-2.5000000e+00	2.9549999e-02	END	END
-2.0000000e+00	2.7860001e-02	END	END
-1.5000000e+00	2.5990000e-02	END	END
-1.0000000e+00	2.3879999e-02	END	END
-5.0000000e-01	2.4370000e-02	END	END
0.0000000e+00	2.4560001e-02	END	END
