CLARK_Y_AIRFOIL_Re0.045_M0.00_N9.0 360 M	
Angle of Attack [deg]	Lift Coefficient Cl [-]	Angle of Attack [deg]	Lift Coefficient Cl [-]
-5.8000000e+01	-8.0119908e-01		
-5.7000000e+01	-8.0974281e-01		
-5.6000000e+01	-8.1738669e-01		
-5.5000000e+01	-8.2412565e-01		
-5.4000000e+01	-8.2995552e-01		
-5.3000000e+01	-8.3487326e-01		
-5.2000000e+01	-8.3887672e-01		
-5.1000000e+01	-8.4196490e-01		
-5.0000000e+01	-8.4413761e-01		
-4.9000000e+01	-8.4539580e-01		
-4.8000000e+01	-8.4574139e-01		
-4.7000000e+01	-8.4517717e-01		
-4.6000000e+01	-8.4370714e-01		
-4.5000000e+01	-8.4133619e-01		
-4.4000000e+01	-8.3807015e-01		
-4.3000000e+01	-8.3391607e-01		
-4.2000000e+01	-8.2888186e-01		
-4.1000000e+01	-8.2297659e-01		
-4.0000000e+01	-8.1621045e-01		
-3.9000000e+01	-8.0859458e-01		
-3.8000000e+01	-8.0014145e-01		
-3.7000000e+01	-7.9086477e-01		
-3.6000000e+01	-7.8077948e-01		
-3.5000000e+01	-7.6990199e-01		
-3.4000000e+01	-7.5825024e-01		
-3.3000000e+01	-7.4584389e-01		
-3.2000000e+01	-7.3270476e-01		
-3.1000000e+01	-7.1885669e-01		
-3.0000000e+01	-7.0432639e-01		
-2.9000000e+01	-6.8914366e-01		
-2.8000000e+01	-6.7334247e-01		
-2.7000000e+01	-6.5696150e-01		
-2.6000000e+01	-6.4004594e-01		
-2.5000000e+01	-6.2264884e-01		
-2.4000000e+01	-6.0483420e-01		
-2.3000000e+01	-5.8668017e-01		
-2.2000000e+01	-5.6828469e-01		
-2.1000000e+01	-5.4977262e-01		
-2.0000000e+01	-5.3130734e-01		
-1.9000000e+01	-5.1310748e-01		
-1.8000000e+01	-4.9547309e-01		
-1.7000000e+01	-4.7882587e-01		
-1.6000000e+01	-4.6377429e-01		
-1.5000000e+01	-4.5121863e-01		
-1.4000000e+01	-4.4252506e-01		
-1.3000000e+01	-4.3981433e-01		
-1.2000000e+01	-4.4643563e-01		
-1.1000000e+01	-4.6769002e-01		
-1.0000000e+01	-5.1168460e-01		
-9.0000000e+00	-5.8922452e-01		
-8.0000000e+00	-7.0832449e-01		
-7.0000000e+00	-8.5375947e-01		
-6.0000000e+00	-9.5852649e-01		
-5.0000000e+00	-9.3966806e-01		
-4.0000000e+00	-3.7869999e-01		
-3.5000000e+00	-3.3129999e-01		
-3.0000000e+00	-2.8290001e-01		
-2.5000000e+00	-2.3340000e-01		
-2.0000000e+00	-1.8269999e-01		
-1.5000000e+00	-1.3470000e-01		
-1.0000000e+00	-8.0100000e-02		
-5.0000000e-01	-4.6700001e-02		
0.0000000e+00	-6.8999999e-03		
5.0000000e-01	8.3600000e-02		
1.0000000e+00	1.9030000e-01		
1.5000000e+00	2.6679999e-01		
2.0000000e+00	3.4000000e-01		
2.5000000e+00	4.1080001e-01		
3.0000000e+00	4.7909999e-01		
3.5000000e+00	5.5140001e-01		
4.0000000e+00	6.1220002e-01		
4.5000000e+00	6.5149999e-01		
5.0000000e+00	7.0929998e-01		
5.5000000e+00	7.5029999e-01		
6.0000000e+00	7.5910002e-01		
6.5000000e+00	7.8520000e-01		
7.0000000e+00	8.1830001e-01		
7.5000000e+00	8.7419999e-01		
8.0000000e+00	8.6320001e-01		
8.5000000e+00	8.7709999e-01		
9.0000000e+00	1.1466000e+00		
9.5000000e+00	1.2067000e+00		
1.0000000e+01	1.2466000e+00		
1.0500000e+01	1.2106000e+00		
1.7500000e+01	9.2540002e-01		
1.8000000e+01	9.4639999e-01		
1.8500000e+01	9.4779998e-01		
1.9000000e+01	9.6869999e-01		
1.9500000e+01	6.5799999e-01		
2.0000000e+01	9.9059999e-01		
2.1000000e+01	9.0198487e-01		
2.2000000e+01	8.9000452e-01		
2.3000000e+01	8.8107300e-01		
2.4000000e+01	8.7479454e-01		
2.5000000e+01	8.7079233e-01		
2.6000000e+01	8.6871737e-01		
2.7000000e+01	8.6825210e-01		
2.8000000e+01	8.6911094e-01		
2.9000000e+01	8.7103909e-01		
3.0000000e+01	8.7381005e-01		
3.1000000e+01	8.7722325e-01		
3.2000000e+01	8.8110107e-01		
3.3000000e+01	8.8528651e-01		
3.4000000e+01	8.8964057e-01		
3.5000000e+01	8.9404005e-01		
3.6000000e+01	8.9837587e-01		
3.7000000e+01	9.0255105e-01		
3.8000000e+01	9.0647924e-01		
3.9000000e+01	9.1008377e-01		
4.0000000e+01	9.1329610e-01		
4.1000000e+01	9.1605520e-01		
4.2000000e+01	9.1830653e-01		
4.3000000e+01	9.2000127e-01		
4.4000000e+01	9.2109597e-01		
4.5000000e+01	9.2155176e-01		
4.6000000e+01	9.2133415e-01		
4.7000000e+01	9.2041224e-01		
4.8000000e+01	9.1875899e-01		
4.9000000e+01	9.1635025e-01		
5.0000000e+01	9.1316503e-01		
5.1000000e+01	9.0918499e-01		
5.2000000e+01	9.0439451e-01		
5.3000000e+01	8.9878017e-01		
5.4000000e+01	8.9233094e-01		
5.5000000e+01	8.8503790e-01		
5.6000000e+01	8.7689418e-01		
5.7000000e+01	8.6789483e-01		
5.8000000e+01	8.5803670e-01		
5.9000000e+01	8.4731847e-01		
6.0000000e+01	8.3574057e-01		
6.1000000e+01	8.2330507e-01		
6.2000000e+01	8.1001556e-01		
6.3000000e+01	7.9587728e-01		
6.4000000e+01	7.8089696e-01		
6.5000000e+01	7.6508284e-01		
6.6000000e+01	7.4844456e-01		
6.7000000e+01	7.3099315e-01		
6.8000000e+01	7.1274108e-01		
6.9000000e+01	6.9370210e-01		
7.0000000e+01	6.7389131e-01		
7.1000000e+01	6.5332508e-01		
7.2000000e+01	6.3202113e-01		
7.3000000e+01	6.0999823e-01		
7.4000000e+01	5.8727652e-01		
7.5000000e+01	5.6387722e-01		
7.6000000e+01	5.3982276e-01		
7.7000000e+01	5.1513672e-01		
7.8000000e+01	4.8984364e-01		
7.9000000e+01	4.6396923e-01		
8.0000000e+01	4.3754020e-01		
8.1000000e+01	4.1058427e-01		
8.2000000e+01	3.8313010e-01		
8.3000000e+01	3.5520729e-01		
8.4000000e+01	3.2684639e-01		
8.5000000e+01	2.9807872e-01		
8.6000000e+01	2.6893649e-01		
8.7000000e+01	2.3945266e-01		
8.8000000e+01	2.0966096e-01		
8.9000000e+01	1.7959584e-01		
9.0000000e+01	1.4929235e-01		
9.1000000e+01	1.1878623e-01		
9.2000000e+01	8.8113733e-02		
9.3000000e+01	5.7311673e-02		
9.4000000e+01	2.6417337e-02		
9.5000000e+01	-4.5315544e-03		
9.6000000e+01	-3.5496905e-02		
9.7000000e+01	-6.6440284e-02		
9.8000000e+01	-9.7322986e-02		
9.9000000e+01	-1.2810607e-01		
1.0000000e+02	-1.5875043e-01		
1.0100000e+02	-1.8921685e-01		
