-37.0	0.62875199	0.62946862	0.62831479	0.62933326	0.62928391	0.62861758	0.62831479	0.62909669
-36.0	0.60032791	0.60111642	0.59981757	0.60097069	0.60091645	0.60016799	0.59981757	0.60070878
-35.0	0.57218581	0.57305634	0.57158673	0.5728991	0.57283932	0.57199472	0.57158673	0.57260817
-34.0	0.54435831	0.5453229	0.54365051	0.5451529	0.54508686	0.54412895	0.54365051	0.54482853
-33.0	0.51687711	0.5179503	0.51603508	0.51776606	0.51769286	0.51660043	0.51603508	0.51740295
-32.0	0.48977309	0.49097231	0.48876375	0.49077222	0.49069071	0.48943743	0.48876375	0.49036393
-31.0	0.46307588	0.4644224	0.4618558	0.46420446	0.46411344	0.46266595	0.4618558	0.46374318
-30.0	0.43681362	0.43833351	0.43532506	0.43809551	0.43799341	0.43630934	0.43532506	0.43757167
-29.0	0.41101259	0.41273823	0.40917769	0.41247749	0.41236246	0.41038716	0.40917769	0.41187918
-28.0	0.38569662	0.38766849	0.38340876	0.38738191	0.38725165	0.38491377	0.38340876	0.38669425
-27.0	0.36088639	0.36315578	0.357997	0.36283964	0.36269134	0.35989627	0.357997	0.36204383
-26.0	0.33659831	0.3392309	0.33289665	0.33888078	0.33871099	0.33533132	0.33289665	0.33795273
-25.0	0.31284285	0.31592408	0.30802438	0.31553465	0.31533894	0.31120023	0.30802438	0.31444314
-24.0	0.28962243	0.29326481	0.28323805	0.2928296	0.29260245	0.28746125	0.28323805	0.29153368
-23.0	0.26692769	0.27128193	0.25830272	0.27079299	0.27052721	0.26403716	0.25830272	0.26923791
-22.0	0.24473231	0.25000346	0.23283717	0.24945094	0.2491373	0.2407954	0.23283717	0.24756251
-21.0	0.22298448	0.22945662	0.20623924	0.22882822	0.22845447	0.21751635	0.20623924	0.22650394
-20.0	0.20159432	0.2096678	0.17761652	0.20894794	0.20849769	0.19384518	0.17761652	0.20604332
-19.0	0.18041457	0.19066253	0.1458694	0.1898312	0.1892821	0.16923074	0.1458694	0.1861383
-18.0	0.15921402	0.17246534	0.11039814	0.17149653	0.1708176	0.14289536	0.11039814	0.16670953
-17.0	0.13764976	0.15509981	0.073172867	0.15395913	0.15310656	0.11402612	0.073172867	0.14761913
-16.0	0.1152733	0.13858846	0.04089006	0.1372297	0.1361402	0.082699679	0.04089006	0.12863812
-15.0	0.091691315	0.12295272	0.021081291	0.12131265	0.11989288	0.051932365	0.021081291	0.10940838
-14.0	0.067161687	0.10821283	0.013612601	0.10620333	0.10431304	0.028293673	0.013612601	0.089445837
-13.0	0.043769807	0.09438774	0.012216465	0.091883816	0.089309871	0.016159944	0.012216465	0.068379015
-12.0	0.025712803	0.081495047	0.012152126	0.078317001	0.074738614	0.012579581	0.012152126	0.046885237
-11.0	0.015926624	0.069550872	0.012139449	0.065440111	0.060405541	0.012142562	0.012139449	0.028208507
-10.0	0.012663608	0.058569726	0.012126772	0.053166319	0.046183046	0.012126772	0.012126772	0.016804358
-9.0	0.012128928	0.048564628	0.012114095	0.041430812	0.032475483	0.012114095	0.012114095	0.012766852
-8.0	0.012101417	0.039547671	0.012101417	0.03039358	0.021067241	0.012101417	0.012101417	0.012117759
-7.0	0.01208874	0.031532511	0.01208874	0.02093518	0.014445587	0.01208874	0.01208874	0.01208874
-6.0	0.012076063	0.024543371	0.012076063	0.014773102	0.012343263	0.012076063	0.012076063	0.012076063
-5.0	0.012063386	0.018646635	0.012063386	0.012438823	0.012067568	0.012063386	0.012063386	0.012063386
-4.0	0.055070002	0.083339997	0.012050709	0.079559997	0.071079999	0.012050709	0.012050709	0.051279999
-3.5	0.05243	0.079240002	0.012038032	0.073250003	0.06216	0.012038032	0.012038032	0.0065299999
-3.0	0.054749999	0.071520001	0.012025354	0.068860002	0.053029999	0.012025354	0.012025354	0.0052700001
-2.0	0.05807	0.06532	0.012012677	0.057659999	0.04634	0.01476	0.012012677	0.0042699999
-1.5	0.058329999	0.05951	0.0079800002	0.05094	0.035270002	0.01048	0.0079800002	0.00452
-1.0	0.04916	0.054370001	0.0060999999	0.043299999	0.02733	0.0075300001	0.0060999999	0.00648
0.0	0.034820002	0.032260001	0.0055499999	0.02908	0.02265	0.0072400002	0.0055499999	0.0096300002
0.5	0.03064	0.02819	0.00502	0.023530001	0.01678	0.0066300002	0.00502	0.01001
1.0	0.031780001	0.02389	0.0092799999	0.01969	0.01452	0.0082999999	0.0092799999	0.01064
1.5	0.033119999	0.025110001	0.0097599998	0.02107	0.01314	0.0090399999	0.0097599998	0.01154
2.0	0.034680001	0.026559999	0.01038	0.022609999	0.0123	0.0098799998	0.01038	0.01216
2.5	0.036499999	0.028279999	0.01136	0.02358	0.01137	0.0111	0.01136	0.01294
3.0	0.038649999	0.03032	0.01283	0.023119999	0.0090500005	0.01284	0.01283	0.01606
3.5	0.041189998	0.032790001	0.01359	0.02193	0.0088200001	0.01462	0.01359	0.01897
4.0	0.044240002	0.03579	0.01493	0.01981	0.01022	0.01606	0.01493	0.023050001
4.5	0.047839999	0.039329998	0.021199999	0.017240001	0.01199	0.018680001	0.021199999	0.040830001
5.0	0.052239999	0.041129999	0.026219999	0.016340001	0.0141	0.024909999	0.026219999	0.05345
5.5	0.05751	0.039799999	0.03325	0.020810001	0.017969999	0.030440001	0.03325	0.092610002
6.0	0.063720003	0.03328	0.04281	0.02767	0.02021	0.03757	0.04281	0.14927
