# Export File Created with QBlade CE v2.0.8.6_beta windows on 14.04.2025 at 14:04:17
E63__(4.25%)_Re1.000_M0.00_N9.0 360 M	E63__(4.25%)_Re1.000_M0.00_N9.0
Angle of Attack [deg]	Lift Coefficient Cl [-]	Angle of Attack [deg]	Lift Coefficient Cl [-]
-1.8000000e+02	-1.3330780e-01	-4.0000000e+00	3.6699999e-02
-1.7900000e+02	1.1664793e-02	-5.0000000e-01	7.0590001e-01
-1.7800000e+02	1.4292437e-01	0.0000000e+00	7.7480000e-01
-1.7700000e+02	2.3951663e-01	5.0000000e-01	8.4090000e-01
-1.7600000e+02	2.8714314e-01	1.0000000e+00	9.3559998e-01
-1.7500000e+02	2.9391608e-01	1.5000000e+00	9.6329999e-01
-1.7400000e+02	2.8113005e-01	2.0000000e+00	9.9349999e-01
-1.7300000e+02	2.6558098e-01	2.5000000e+00	1.0456001e+00
-1.7200000e+02	2.5468493e-01	3.0000000e+00	1.0957000e+00
-1.7100000e+02	2.4992324e-01	3.5000000e+00	1.1440001e+00
-1.7000000e+02	2.5042886e-01	4.0000000e+00	1.1945000e+00
-1.6900000e+02	2.5479469e-01	4.5000000e+00	1.2438000e+00
-1.6800000e+02	2.6172590e-01	6.0000000e+00	1.3832999e+00
-1.6700000e+02	2.7019718e-01	6.5000000e+00	1.4206001e+00
-1.6600000e+02	2.7944210e-01	7.0000000e+00	1.4572001e+00
-1.6500000e+02	2.8890097e-01	8.0000000e+00	1.5089999e+00
-1.6400000e+02	2.9816911e-01	8.5000000e+00	1.4984000e+00
-1.6300000e+02	3.0695510e-01	1.0500000e+01	1.3318000e+00
-1.6200000e+02	3.1505013e-01	1.2000000e+01	1.2535000e+00
-1.6100000e+02	3.2230592e-01	1.2500000e+01	1.2394000e+00
-1.6000000e+02	3.2861906e-01	1.4500000e+01	1.2142000e+00
-1.5900000e+02	3.3391976e-01	END	END
-1.5800000e+02	3.3816397e-01	END	END
-1.5700000e+02	3.4132749e-01	END	END
-1.5600000e+02	3.4340176e-01	END	END
-1.5500000e+02	3.4439078e-01	END	END
-1.5400000e+02	3.4430870e-01	END	END
-1.5300000e+02	3.4317800e-01	END	END
-1.5200000e+02	3.4102809e-01	END	END
-1.5100000e+02	3.3789411e-01	END	END
-1.5000000e+02	3.3381611e-01	END	END
-1.4900000e+02	3.2883823e-01	END	END
-1.4800000e+02	3.2300803e-01	END	END
-1.4700000e+02	3.1637597e-01	END	END
-1.4600000e+02	3.0899498e-01	END	END
-1.4500000e+02	3.0091986e-01	END	END
-1.4400000e+02	2.9220709e-01	END	END
-1.4300000e+02	2.8291422e-01	END	END
-1.4200000e+02	2.7309978e-01	END	END
-1.4100000e+02	2.6282275e-01	END	END
-1.4000000e+02	2.5214246e-01	END	END
-1.3900000e+02	2.4111812e-01	END	END
-1.3800000e+02	2.2980863e-01	END	END
-1.3700000e+02	2.1827239e-01	END	END
-1.3600000e+02	2.0656694e-01	END	END
-1.3500000e+02	1.9474879e-01	END	END
-1.3400000e+02	1.8287322e-01	END	END
-1.3300000e+02	1.7099401e-01	END	END
-1.3200000e+02	1.5916331e-01	END	END
-1.3100000e+02	1.4743139e-01	END	END
-1.3000000e+02	1.3584651e-01	END	END
-1.2900000e+02	1.2445478e-01	END	END
-1.2800000e+02	1.1329995e-01	END	END
-1.2700000e+02	1.0242330e-01	END	END
-1.2600000e+02	9.1863565e-02	END	END
-1.2500000e+02	8.1656732e-02	END	END
-1.2400000e+02	7.1836032e-02	END	END
-1.2300000e+02	6.2431801e-02	END	END
-1.2200000e+02	5.3471431e-02	END	END
-1.2100000e+02	4.4979304e-02	END	END
-1.2000000e+02	3.6976755e-02	END	END
-1.1900000e+02	2.9482039e-02	END	END
-1.1800000e+02	2.2510311e-02	END	END
-1.1700000e+02	1.6073618e-02	END	END
-1.1600000e+02	1.0180918e-02	END	END
-1.1500000e+02	4.8380899e-03	END	END
-1.1400000e+02	4.7973175e-05	END	END
-1.1300000e+02	-4.1895905e-03	END	END
