# Export File Created with QBlade CE v2.0.8.6_beta windows on 14.04.2025 at 13:56:19
E63__(4.25%)_Re0.020_M0.00_N9.0 360 M	E63__(4.25%)_Re0.020_M0.00_N9.0
Angle of Attack [deg]	Lift Coefficient Cl [-]	Angle of Attack [deg]	Lift Coefficient Cl [-]
-1.8000000e+02	-1.1421418e-01	-4.0000000e+00	-3.1800002e-02
-1.7900000e+02	-2.0052845e-02	-3.5000000e+00	-3.3199999e-02
-1.7800000e+02	7.3016480e-02	-3.0000000e+00	-1.0840000e-01
-1.7700000e+02	1.6024378e-01	-2.0000000e+00	-2.4630000e-01
-1.7600000e+02	2.3197418e-01	-1.5000000e+00	-2.7890000e-01
-1.7500000e+02	2.7838096e-01	-1.0000000e+00	4.9400002e-02
-1.7400000e+02	2.9825887e-01	0.0000000e+00	3.6590001e-01
-1.7300000e+02	3.0069619e-01	5.0000000e-01	4.3610001e-01
-1.7200000e+02	2.9721099e-01	1.0000000e+00	4.8629999e-01
-1.7100000e+02	2.9521433e-01	1.5000000e+00	5.3250003e-01
-1.7000000e+02	2.9749674e-01	2.0000000e+00	5.7599998e-01
-1.6900000e+02	3.0422518e-01	2.5000000e+00	6.1680001e-01
-1.6800000e+02	3.1458452e-01	3.0000000e+00	6.5499997e-01
-1.6700000e+02	3.2758495e-01	3.5000000e+00	6.9010001e-01
-1.6600000e+02	3.4235328e-01	4.0000000e+00	7.2170001e-01
-1.6500000e+02	3.5819757e-01	4.5000000e+00	7.4989998e-01
-1.6400000e+02	3.7459269e-01	5.0000000e+00	7.7340001e-01
-1.6300000e+02	3.9114636e-01	5.5000000e+00	7.9250002e-01
-1.6200000e+02	4.0756664e-01	6.0000000e+00	8.0729997e-01
-1.6100000e+02	4.2363563e-01	6.5000000e+00	8.1860000e-01
-1.6000000e+02	4.3918994e-01	7.0000000e+00	9.5690000e-01
-1.5900000e+02	4.5410639e-01	7.5000000e+00	1.3200001e+00
-1.5800000e+02	4.6829185e-01	8.0000000e+00	1.3342000e+00
-1.5700000e+02	4.8167586e-01	9.5000000e+00	1.2021000e+00
-1.5600000e+02	4.9420539e-01	1.0000000e+01	1.1752000e+00
-1.5500000e+02	5.0584090e-01	1.0500000e+01	1.1232001e+00
-1.5400000e+02	5.1655352e-01	1.1000000e+01	1.1058000e+00
-1.5300000e+02	5.2632302e-01	1.2000000e+01	1.0494000e+00
-1.5200000e+02	5.3513634e-01	1.5000000e+01	1.1255000e+00
-1.5100000e+02	5.4298604e-01	END	END
-1.5000000e+02	5.4986966e-01	END	END
-1.4900000e+02	5.5578899e-01	END	END
-1.4800000e+02	5.6074935e-01	END	END
-1.4700000e+02	5.6475919e-01	END	END
-1.4600000e+02	5.6782973e-01	END	END
-1.4500000e+02	5.6997448e-01	END	END
-1.4400000e+02	5.7120925e-01	END	END
-1.4300000e+02	5.7155162e-01	END	END
-1.4200000e+02	5.7102090e-01	END	END
-1.4100000e+02	5.6963784e-01	END	END
-1.4000000e+02	5.6742442e-01	END	END
-1.3900000e+02	5.6440389e-01	END	END
-1.3800000e+02	5.6060046e-01	END	END
-1.3700000e+02	5.5603915e-01	END	END
-1.3600000e+02	5.5074573e-01	END	END
-1.3500000e+02	5.4474658e-01	END	END
-1.3400000e+02	5.3806841e-01	END	END
